order_id,date_commande,client_id,region,produit,categorie,prix_unitaire,quantite,total,moyen_paiement
10101,2025-09-07,1039,Nord,Clavier mecanique,Accessoires,46.4,1,46.4,CB
10102,2025-09-08,1206,Est,Smartphone,Electronique,437.77,2,875.54,PayPal
10103,2025-09-08,1024,Nord,Ecran 27 pouces,Electronique,262.37,1,262.37,CB
10104,2025-09-08,1245,Sud,Ecran 27 pouces,Electronique,582.04,1,582.04,PayPal
10105,2025-09-08,1206,Est,Casque audio,Accessoires,332.56,2,665.12,CB
10106,2025-09-08,1240,Centre,Souris sans fil,Accessoires,58.72,1,58.72,PayPal
10107,2025-09-09,1126,Centre,Tablette,Electronique,582.85,2,1165.7,CB
10108,2025-09-09,1200,Centre,Suite bureautique,Logiciels,142.95,1,142.95,PayPal
10109,2025-09-09,1202,Est,Clavier mecanique,Accessoires,156.08,1,156.08,CB
10110,2025-09-09,1181,Est,Souris sans fil,Accessoires,21.22,2,42.44,PayPal
10111,2025-09-10,1022,Ouest,Enceinte bluetooth,Accessoires,35.4,2,70.8,PayPal
10112,2025-09-11,1189,Est,Webcam HD,Accessoires,63.86,2,127.72,CB
10113,2025-09-11,1130,Ouest,Tablette,Electronique,567.17,2,1134.34,CB
10114,2025-09-12,1082,Nord,Casque audio,Accessoires,276.76,1,276.76,CB
10115,2025-09-13,1148,Sud,Disque dur externe,Accessoires,182.25,1,182.25,PayPal
10116,2025-09-13,1242,Centre,Webcam HD,Accessoires,60.88,1,60.88,CB
10117,2025-09-13,1166,Nord,Ecran 27 pouces,Electronique,234.78,1,234.78,PayPal
10118,2025-09-14,1165,Sud,Enceinte bluetooth,Accessoires,66.78,1,66.78,CB
10119,2025-09-14,1005,Sud,Ordinateur portable,Electronique,952.18,5,4760.9,CB
10120,2025-09-14,1068,Centre,Tablette,Electronique,391.01,2,782.02,PayPal
10121,2025-09-15,1109,Ouest,Souris sans fil,Accessoires,44.72,1,44.72,CB
10122,2025-09-16,1061,Sud,Licence antivirus,Logiciels,59.34,2,118.68,CB
10123,2025-09-16,1120,Sud,Tablette,Electronique,631.65,1,631.65,PayPal
10124,2025-09-16,1026,Sud,Ordinateur portable,Electronique,1290.91,1,1290.91,CB
10125,2025-09-17,1041,Ouest,Ordinateur portable,Electronique,1595.56,1,1595.56,PayPal
10126,2025-09-17,1185,Ouest,Smartphone,Electronique,1123.18,4,4492.72,CB
10127,2025-09-17,1068,Sud,Ordinateur portable,Electronique,1405.65,1,1405.65,CB
10128,2025-09-17,1001,Centre,Smartphone,Electronique,318.25,1,318.25,CB
10129,2025-09-17,1245,Centre,Ecran 27 pouces,Electronique,157.4,1,157.4,PayPal
10130,2025-09-17,1215,Est,Clavier mecanique,Accessoires,56.87,4,227.48,Virement
10131,2025-09-17,1235,Ouest,Smartphone,Electronique,990.83,1,990.83,CB
10132,2025-09-18,1008,Nord,Ordinateur portable,Electronique,780.19,2,1560.38,CB
10133,2025-09-18,1023,Centre,Souris sans fil,Accessoires,57.75,2,115.5,CB
10134,2025-09-19,1159,Centre,Webcam HD,Accessoires,88.41,4,353.64,CB
10135,2025-09-19,1231,Sud,Tablette,Electronique,701.16,1,701.16,Virement
10136,2025-09-19,1017,Ouest,Souris sans fil,Accessoires,28.76,1,28.76,PayPal
10137,2025-09-19,1120,Ouest,Casque audio,Accessoires,322.48,1,322.48,Virement
10138,2025-09-20,1050,Sud,Casque audio,Accessoires,249.03,1,249.03,CB
10139,2025-09-21,1041,Est,Suite bureautique,Logiciels,110.53,1,110.53,CB
10140,2025-09-21,1218,Sud,Enceinte bluetooth,Accessoires,134.39,2,268.78,PayPal
10141,2025-09-22,1113,Sud,Enceinte bluetooth,Accessoires,113.44,1,113.44,PayPal
10142,2025-09-22,1063,Est,Casque audio,Accessoires,58.19,1,58.19,CB
10143,2025-09-23,1014,Est,Clavier mecanique,Accessoires,132.56,1,132.56,Virement
10144,2025-09-23,1101,Est,Smartphone,Electronique,635.37,2,1270.74,CB
10145,2025-09-23,1004,Ouest,Licence antivirus,Logiciels,46.67,1,46.67,PayPal
10146,2025-09-23,1061,Sud,Clavier mecanique,Accessoires,59.13,1,59.13,Virement
10147,2025-09-24,1245,Nord,Suite bureautique,Logiciels,159.12,1,159.12,CB
10148,2025-09-24,1235,Nord,Tablette,Electronique,165.93,1,165.93,CB
10149,2025-09-25,1009,Sud,Smartphone,Electronique,382.88,1,382.88,PayPal
10150,2025-09-25,1167,Ouest,Smartphone,Electronique,1123.46,1,1123.46,PayPal
10151,2025-09-25,1208,Nord,Tablette,Electronique,153.99,1,153.99,CB
10152,2025-09-25,1177,Nord,Ordinateur portable,Electronique,1954.08,1,1954.08,PayPal
10153,2025-09-25,1047,Nord,Clavier mecanique,Accessoires,80.31,1,80.31,CB
10154,2025-09-26,1041,Ouest,Smartphone,Electronique,364.87,2,729.74,CB
10155,2025-09-27,1025,Centre,Souris sans fil,Accessoires,58.92,2,117.84,PayPal
10156,2025-09-27,1016,Sud,Smartphone,Electronique,564.34,2,1128.68,Virement
10157,2025-09-28,1062,Centre,Clavier mecanique,Accessoires,71.31,1,71.31,Virement
10158,2025-09-28,1220,Ouest,Smartphone,Electronique,570.63,3,1711.89,PayPal
10159,2025-09-28,1131,Nord,Tablette,Electronique,496.57,4,1986.28,PayPal
10160,2025-09-28,1112,Nord,Clavier mecanique,Accessoires,100.06,2,200.12,CB
10161,2025-09-29,1031,Centre,Ordinateur portable,Electronique,1518.07,3,4554.21,CB
10162,2025-09-30,1111,Est,Ordinateur portable,Electronique,1408.79,5,7043.95,PayPal
10163,2025-09-30,1136,Centre,Smartphone,Electronique,465.23,1,465.23,CB
10164,2025-09-30,1146,Nord,Casque audio,Accessoires,88.43,1,88.43,PayPal
10165,2025-10-01,1098,Est,Ecran 27 pouces,Electronique,464.83,1,464.83,CB
10166,2025-10-01,1158,Centre,Webcam HD,Accessoires,46.59,1,46.59,CB
10167,2025-10-01,1235,Centre,Casque audio,Accessoires,250.25,2,500.5,CB
10168,2025-10-01,1194,Centre,Casque audio,Accessoires,55.15,1,55.15,PayPal
10169,2025-10-02,1223,Sud,Licence antivirus,Logiciels,71.7,1,71.7,CB
10170,2025-10-02,1114,Nord,Suite bureautique,Logiciels,242.93,2,485.86,CB
10171,2025-10-02,1091,Nord,Suite bureautique,Logiciels,204.91,1,204.91,CB
10172,2025-10-02,1129,Nord,Clavier mecanique,Accessoires,164.9,1,164.9,CB
10173,2025-10-02,1113,Centre,Ordinateur portable,Electronique,1535.01,2,3070.02,CB
10174,2025-10-04,1223,Nord,Ordinateur portable,Electronique,1145.15,1,1145.15,Virement
10175,2025-10-04,1162,Nord,Clavier mecanique,Accessoires,125.11,1,125.11,CB
10176,2025-10-05,1134,Nord,Smartphone,Electronique,953.65,1,953.65,CB
10177,2025-10-05,1065,Centre,Disque dur externe,Accessoires,210.06,2,420.12,CB
10178,2025-10-06,1096,Sud,Smartphone,Electronique,346.36,1,346.36,PayPal
10179,2025-10-06,1119,Ouest,Souris sans fil,Accessoires,53.72,1,53.72,PayPal
10180,2025-10-06,1249,Sud,Ordinateur portable,Electronique,1078.16,3,3234.48,PayPal
10181,2025-10-06,1249,Est,Ordinateur portable,Electronique,1931.28,1,1931.28,PayPal
10182,2025-10-07,1207,Nord,Ordinateur portable,Electronique,1945.05,1,1945.05,CB
10183,2025-10-07,1159,Ouest,Licence antivirus,Logiciels,34.28,1,34.28,CB
10184,2025-10-07,1226,Centre,Souris sans fil,Accessoires,24.55,2,49.1,CB
10185,2025-10-08,1171,Ouest,Disque dur externe,Accessoires,75.66,2,151.32,CB
10186,2025-10-08,1246,Est,Smartphone,Electronique,685.19,1,685.19,CB
10187,2025-10-08,1224,Centre,Smartphone,Electronique,1047.3,1,1047.3,CB
10188,2025-10-09,1128,Nord,Ecran 27 pouces,Electronique,527.92,1,527.92,CB
10189,2025-10-09,1010,Sud,Casque audio,Accessoires,307.33,1,307.33,CB
10190,2025-10-09,1115,Sud,Tablette,Electronique,778.66,1,778.66,CB
10191,2025-10-09,1143,Nord,Clavier mecanique,Accessoires,74.21,4,296.84,CB
10192,2025-10-10,1043,Nord,Tablette,Electronique,436.81,2,873.62,PayPal
10193,2025-10-10,1177,Est,Smartphone,Electronique,475.63,1,475.63,Virement
10194,2025-10-11,1052,Sud,Ecran 27 pouces,Electronique,193.76,1,193.76,PayPal
10195,2025-10-11,1080,Est,Licence antivirus,Logiciels,32.1,1,32.1,PayPal
10196,2025-10-11,1121,Ouest,Licence antivirus,Logiciels,47.71,1,47.71,CB
10197,2025-10-11,1241,Centre,Ordinateur portable,Electronique,1239.46,2,2478.92,Virement
10198,2025-10-12,1178,Sud,Suite bureautique,Logiciels,222.61,2,445.22,CB
10199,2025-10-13,1107,Est,Tablette,Electronique,339.6,1,339.6,CB
10200,2025-10-13,1226,Centre,Ecran 27 pouces,Electronique,397.08,4,1588.32,PayPal
10201,2025-10-13,1057,Ouest,Ecran 27 pouces,Electronique,428.76,1,428.76,PayPal
10202,2025-10-14,1043,Nord,Ordinateur portable,Electronique,841.92,1,841.92,PayPal
10203,2025-10-14,1173,Nord,Casque audio,Accessoires,197.68,1,197.68,CB
10204,2025-10-14,1137,Centre,Souris sans fil,Accessoires,37.39,1,37.39,CB
10205,2025-10-14,1232,Centre,Ecran 27 pouces,Electronique,412.07,3,1236.21,PayPal
10206,2025-10-15,1134,Nord,Enceinte bluetooth,Accessoires,48.14,1,48.14,CB
10207,2025-10-15,1205,Sud,Casque audio,Accessoires,269.92,1,269.92,PayPal
10208,2025-10-15,1045,Est,Ordinateur portable,Electronique,1000.83,1,1000.83,CB
10209,2025-10-16,1064,Est,Tablette,Electronique,756.5,1,756.5,Virement
10210,2025-10-16,1182,Ouest,Smartphone,Electronique,905.52,1,905.52,CB
10211,2025-10-16,1086,Ouest,Tablette,Electronique,660.9,1,660.9,PayPal
10212,2025-10-17,1025,Sud,Ecran 27 pouces,Electronique,596.56,1,596.56,CB
10213,2025-10-17,1016,Centre,Suite bureautique,Logiciels,190.04,1,190.04,CB
10214,2025-10-18,1024,Nord,Enceinte bluetooth,Accessoires,137.33,1,137.33,CB
10215,2025-10-18,1166,Sud,Smartphone,Electronique,1020.81,4,4083.24,Virement
10216,2025-10-18,1248,Ouest,Suite bureautique,Logiciels,73.31,2,146.62,PayPal
10217,2025-10-18,1059,Sud,Smartphone,Electronique,765.79,1,765.79,CB
10218,2025-10-19,1004,Nord,Ordinateur portable,Electronique,924.53,1,924.53,PayPal
10219,2025-10-19,1011,Nord,Enceinte bluetooth,Accessoires,84.62,1,84.62,PayPal
10220,2025-10-20,1036,Est,Ordinateur portable,Electronique,1915.82,1,1915.82,PayPal
10221,2025-10-20,1052,Ouest,Webcam HD,Accessoires,68.02,2,136.04,CB
10222,2025-10-20,1125,Centre,Clavier mecanique,Accessoires,115.13,1,115.13,PayPal
10223,2025-10-21,1111,Sud,Souris sans fil,Accessoires,39.02,1,39.02,CB
10224,2025-10-21,1057,Nord,Smartphone,Electronique,859.46,2,1718.92,CB
10225,2025-10-21,1008,Nord,Disque dur externe,Accessoires,152.53,1,152.53,CB
10226,2025-10-22,1186,Sud,Disque dur externe,Accessoires,107.01,1,107.01,PayPal
10227,2025-10-23,1169,Ouest,Tablette,Electronique,222.55,1,222.55,Virement
10228,2025-10-23,1113,Centre,Ordinateur portable,Electronique,1334.3,2,2668.6,PayPal
10229,2025-10-24,1025,Est,Smartphone,Electronique,737.78,2,1475.56,CB
10230,2025-10-24,1129,Nord,Enceinte bluetooth,Accessoires,62.54,1,62.54,CB
10231,2025-10-24,1124,Sud,Disque dur externe,Accessoires,78.32,2,156.64,Virement
10232,2025-10-25,1101,Sud,Ecran 27 pouces,Electronique,574.95,2,1149.9,CB
10233,2025-10-25,1009,Est,Tablette,Electronique,279.52,1,279.52,CB
10234,2025-10-25,1137,Ouest,Clavier mecanique,Accessoires,127.43,1,127.43,CB
10235,2025-10-26,1214,Centre,Suite bureautique,Logiciels,204.47,4,817.88,CB
10236,2025-10-26,1243,Ouest,Enceinte bluetooth,Accessoires,94.56,1,94.56,PayPal
10237,2025-10-26,1064,Centre,Souris sans fil,Accessoires,21.65,1,21.65,Virement
10238,2025-10-26,1061,Centre,Casque audio,Accessoires,122.55,1,122.55,CB
10239,2025-10-27,1021,Nord,Ordinateur portable,Electronique,716.64,1,716.64,Virement
10240,2025-10-28,1168,Nord,Ecran 27 pouces,Electronique,411.46,3,1234.38,PayPal
10241,2025-10-28,1227,Sud,Webcam HD,Accessoires,31.0,3,93.0,CB
10242,2025-10-28,1132,Est,Tablette,Electronique,338.04,1,338.04,PayPal
10243,2025-10-29,1022,Centre,Smartphone,Electronique,1090.13,1,1090.13,CB
10244,2025-10-29,1221,Centre,Webcam HD,Accessoires,107.95,1,107.95,PayPal
10245,2025-10-29,1204,Ouest,Ecran 27 pouces,Electronique,446.11,3,1338.33,CB
10246,2025-10-29,1032,Nord,Casque audio,Accessoires,339.67,1,339.67,CB
10247,2025-10-29,1031,Ouest,Smartphone,Electronique,682.72,1,682.72,CB
10248,2025-10-30,1145,Sud,Enceinte bluetooth,Accessoires,115.19,1,115.19,PayPal
10249,2025-10-30,1065,Sud,Licence antivirus,Logiciels,81.15,1,81.15,CB
10250,2025-10-31,1003,Nord,Suite bureautique,Logiciels,110.29,1,110.29,PayPal
10251,2025-10-31,1217,Nord,Ecran 27 pouces,Electronique,388.67,3,1166.01,PayPal
10252,2025-10-31,1107,Sud,Licence antivirus,Logiciels,35.99,2,71.98,PayPal
10253,2025-10-31,1132,Nord,Clavier mecanique,Accessoires,53.34,2,106.68,CB
10254,2025-11-01,1085,Est,Ordinateur portable,Electronique,1443.42,1,1443.42,CB
10255,2025-11-01,1222,Sud,Ordinateur portable,Electronique,1554.71,3,4664.13,CB
10256,2025-11-02,1034,Est,Disque dur externe,Accessoires,75.24,1,75.24,CB
10257,2025-11-02,1179,Nord,Webcam HD,Accessoires,43.62,1,43.62,PayPal
10258,2025-11-02,1061,Nord,Disque dur externe,Accessoires,94.08,1,94.08,CB
10259,2025-11-02,1084,Nord,Enceinte bluetooth,Accessoires,180.1,1,180.1,CB
10260,2025-11-03,1094,Sud,Ecran 27 pouces,Electronique,286.23,1,286.23,CB
10261,2025-11-04,1042,Sud,Licence antivirus,Logiciels,67.41,1,67.41,CB
10262,2025-11-04,1013,Est,Casque audio,Accessoires,336.75,1,336.75,PayPal
10263,2025-11-04,1012,Ouest,Smartphone,Electronique,1076.71,1,1076.71,CB
10264,2025-11-04,1142,Sud,Ecran 27 pouces,Electronique,252.26,1,252.26,CB
10265,2025-11-05,1089,Est,Smartphone,Electronique,970.16,2,1940.32,CB
10266,2025-11-06,1177,Est,Smartphone,Electronique,272.6,1,272.6,CB
10267,2025-11-06,1005,Nord,Ordinateur portable,Electronique,556.43,1,556.43,Virement
10268,2025-11-07,1111,Centre,Tablette,Electronique,446.15,2,892.3,CB
10269,2025-11-07,1050,Est,Disque dur externe,Accessoires,86.89,2,173.78,PayPal
10270,2025-11-07,1075,Nord,Smartphone,Electronique,877.11,1,877.11,Virement
10271,2025-11-08,1032,Ouest,Souris sans fil,Accessoires,57.19,1,57.19,Virement
10272,2025-11-09,1192,Nord,Clavier mecanique,Accessoires,91.63,1,91.63,PayPal
10273,2025-11-09,1007,Est,Suite bureautique,Logiciels,128.4,1,128.4,CB
10274,2025-11-09,1240,Ouest,Enceinte bluetooth,Accessoires,51.13,1,51.13,CB
10275,2025-11-09,1061,Ouest,Smartphone,Electronique,447.91,1,447.91,Virement
10276,2025-11-10,1225,Centre,Ecran 27 pouces,Electronique,376.57,2,753.14,CB
10277,2025-11-10,1032,Est,Webcam HD,Accessoires,102.56,1,102.56,CB
10278,2025-11-11,1213,Nord,Tablette,Electronique,300.11,3,900.33,CB
10279,2025-11-11,1202,Est,Smartphone,Electronique,270.13,2,540.26,CB
10280,2025-11-11,1005,Ouest,Webcam HD,Accessoires,109.45,2,218.9,PayPal
10281,2025-11-12,1107,Ouest,Ordinateur portable,Electronique,879.8,1,879.8,PayPal
10282,2025-11-12,1145,Est,Tablette,Electronique,522.96,4,2091.84,CB
10283,2025-11-13,1177,Ouest,Webcam HD,Accessoires,25.09,1,25.09,PayPal
10284,2025-11-13,1210,Est,Clavier mecanique,Accessoires,118.75,1,118.75,CB
10285,2025-11-13,1153,Ouest,Suite bureautique,Logiciels,210.72,1,210.72,Virement
10286,2025-11-13,1021,Sud,Ordinateur portable,Electronique,748.38,1,748.38,PayPal
10287,2025-11-14,1247,Est,Disque dur externe,Accessoires,126.08,1,126.08,PayPal
10288,2025-11-14,1032,Centre,Webcam HD,Accessoires,116.65,1,116.65,CB
10289,2025-11-14,1089,Ouest,Enceinte bluetooth,Accessoires,101.13,1,101.13,CB
10290,2025-11-15,1109,Centre,Smartphone,Electronique,479.37,1,479.37,PayPal
10291,2025-11-16,1220,Nord,Enceinte bluetooth,Accessoires,117.72,2,235.44,CB
10292,2025-11-16,1079,Centre,Licence antivirus,Logiciels,62.67,1,62.67,Virement
10293,2025-11-16,1011,Ouest,Webcam HD,Accessoires,48.19,1,48.19,CB
10294,2025-11-16,1049,Sud,Ecran 27 pouces,Electronique,381.58,1,381.58,CB
10295,2025-11-16,1038,Nord,Webcam HD,Accessoires,51.21,1,51.21,CB
10296,2025-11-17,1167,Sud,Smartphone,Electronique,912.53,1,912.53,PayPal
10297,2025-11-17,1108,Sud,Disque dur externe,Accessoires,190.7,2,381.4,CB
10298,2025-11-18,1000,Sud,Smartphone,Electronique,724.62,1,724.62,CB
10299,2025-11-18,1035,Nord,Casque audio,Accessoires,204.53,5,1022.65,CB
10300,2025-11-18,1245,Centre,Licence antivirus,Logiciels,18.86,1,18.86,PayPal
10301,2025-11-20,1116,Sud,Tablette,Electronique,263.82,1,263.82,CB
10302,2025-11-20,1009,Nord,Ordinateur portable,Electronique,1793.31,1,1793.31,Virement
10303,2025-11-20,1023,Centre,Ordinateur portable,Electronique,1053.18,1,1053.18,CB
10304,2025-11-21,1199,Centre,Webcam HD,Accessoires,23.81,1,23.81,PayPal
10305,2025-11-21,1064,Nord,Tablette,Electronique,207.25,1,207.25,CB
10306,2025-11-21,1218,Nord,Ordinateur portable,Electronique,952.64,1,952.64,CB
10307,2025-11-22,1037,Centre,Ordinateur portable,Electronique,1264.63,1,1264.63,CB
10308,2025-11-22,1088,Est,Souris sans fil,Accessoires,31.89,4,127.56,CB
10309,2025-11-22,1113,Centre,Casque audio,Accessoires,209.66,4,838.64,CB
10310,2025-11-22,1035,Sud,Casque audio,Accessoires,72.09,3,216.27,CB
10311,2025-11-22,1222,Est,Casque audio,Accessoires,64.4,2,128.8,CB
10312,2025-11-22,1219,Centre,Webcam HD,Accessoires,33.28,1,33.28,CB
