transaction_id,date,type,category,amount_eur,client_id,sale_id,payment_status,invoice_number
FIN0006141,2024-02-06,Expense,Frais juridiques & conseil,3344.96,,,Paid,DEP-006141
FIN0000001,2024-02-06,Revenue,Subscription Revenue,1551.04,CL00162,SAL001898,Paid,FAC-000001
FIN0006145,2024-02-09,Expense,OpenAI / LLM API,1252.11,,,Paid,DEP-006145
FIN0006144,2024-02-09,Expense,OpenAI / LLM API,1252.11,,,Paid,DEP-006144
FIN0006142,2024-02-09,Expense,Déplacements & événements,3326.75,,,Paid,DEP-006142
FIN0006137,2024-02-09,Expense,Outils SaaS internes,360.33,,,Paid,DEP-006137
FIN0006140,2024-02-10,Expense,Bureaux & équipement,1820.73,,,Paid,DEP-006140
FIN0000019,2024-02-12,Revenue,Subscription Revenue,246.64,CL00011,SAL000096,Paid,FAC-000019
FIN0006139,2024-02-13,Expense,Bureaux & équipement,1820.73,,,Paid,DEP-006139
FIN0000009,2024-02-15,Revenue,One-time Revenue,18927.41,CL00330,SAL003862,Paid,FAC-000009
FIN0000011,2024-02-15,Revenue,Subscription Revenue,1782.53,CL00199,SAL002283,Paid,FAC-000011
FIN0000024,2024-02-16,Revenue,Subscription Revenue,4388.17,CL00199,SAL002298,Paid,FAC-000024
FIN0000014,2024-02-20,Revenue,Subscription Revenue,1403.45,CL00131,SAL001597,Paid,FAC-000014
FIN0000029,2024-02-21,Revenue,One-time Revenue,1289.38,CL00397,SAL004778,Paid,FAC-000029
FIN0000015,2024-02-21,Revenue,Subscription Revenue,2722.84,CL00494,SAL006006,Paid,FAC-000015
FIN0006132,2024-02-22,Expense,Marketing & Publicité,10912.16,,,Paid,DEP-006132
FIN0000031,2024-02-23,Revenue,Subscription Revenue,727.0,CL00121,SAL001411,Paid,FAC-000031
FIN0006138,2024-02-24,Expense,Bureaux & équipement,1820.73,,,Paid,DEP-006138
FIN0000017,2024-02-25,Revenue,Subscription Revenue,1584.84,CL00302,SAL003611,Paid,FAC-000017
FIN0006143,2024-02-26,Expense,OpenAI / LLM API,1252.11,,,Paid,DEP-006143
FIN0006136,2024-02-28,Expense,Outils SaaS internes,360.33,,,Paid,DEP-006136
FIN0000008,2024-02-29,Revenue,Subscription Revenue,861.71,CL00057,SAL000586,Paid,FAC-000008
FIN0000022,2024-03-01,Revenue,Subscription Revenue,988.89,CL00330,SAL003897,Paid,FAC-000022
FIN0006159,2024-03-01,Expense,Déplacements & événements,1468.91,,,Paid,DEP-006159
FIN0000010,2024-03-01,Revenue,Subscription Revenue,473.76,CL00498,SAL006095,Paid,FAC-000010
FIN0000004,2024-03-02,Revenue,Subscription Revenue,484.99,CL00355,SAL004276,Paid,FAC-000004
FIN0000012,2024-03-03,Revenue,Subscription Revenue,866.43,CL00334,SAL003961,Paid,FAC-000012
FIN0000013,2024-03-03,Revenue,Subscription Revenue,477.53,CL00355,SAL004314,Paid,FAC-000013
FIN0006148,2024-03-05,Expense,Infrastructure Cloud,837.0,,,Paid,DEP-006148
FIN0000026,2024-03-05,Revenue,Subscription Revenue,1648.78,CL00491,SAL005995,Paid,FAC-000026
FIN0000027,2024-03-05,Revenue,Subscription Revenue,262.52,CL00057,SAL000606,Paid,FAC-000027
FIN0006153,2024-03-06,Expense,Bureaux & équipement,1702.64,,,Paid,DEP-006153
FIN0006149,2024-03-07,Expense,Infrastructure Cloud,837.0,,,Paid,DEP-006149
FIN0006161,2024-03-07,Expense,OpenAI / LLM API,1762.66,,,Paid,DEP-006161
FIN0006156,2024-03-08,Expense,Frais juridiques & conseil,2680.13,,,Paid,DEP-006156
FIN0006147,2024-03-08,Expense,Marketing & Publicité,13772.91,,,Paid,DEP-006147
FIN0006155,2024-03-08,Expense,Bureaux & équipement,1702.64,,,Paid,DEP-006155
FIN0000043,2024-03-10,Revenue,Subscription Revenue,371.42,CL00011,SAL000112,Paid,FAC-000043
FIN0000007,2024-03-11,Revenue,Subscription Revenue,416.04,CL00386,SAL004674,Paid,FAC-000007
FIN0006160,2024-03-12,Expense,OpenAI / LLM API,1762.66,,,Paid,DEP-006160
FIN0000050,2024-03-12,Revenue,Subscription Revenue,4932.49,CL00465,SAL005659,Paid,FAC-000050
FIN0000020,2024-03-13,Revenue,Subscription Revenue,554.21,CL00355,SAL004291,Paid,FAC-000020
FIN0000051,2024-03-15,Revenue,Subscription Revenue,4229.56,CL00498,SAL006074,Paid,FAC-000051
FIN0006157,2024-03-15,Expense,Déplacements & événements,1468.91,,,Paid,DEP-006157
FIN0000021,2024-03-15,Revenue,Subscription Revenue,4088.52,CL00121,SAL001419,Paid,FAC-000021
FIN0000023,2024-03-16,Revenue,One-time Revenue,3027.42,CL00011,SAL000113,Paid,FAC-000023
FIN0006152,2024-03-17,Expense,Outils SaaS internes,800.31,,,Paid,DEP-006152
FIN0000025,2024-03-19,Revenue,Subscription Revenue,1653.22,CL00002,SAL000002,Paid,FAC-000025
FIN0000057,2024-03-19,Revenue,One-time Revenue,16787.54,CL00387,SAL004697,Paid,FAC-000057
FIN0006146,2024-03-20,Expense,Salaires & charges,60012.93,,,Paid,DEP-006146
FIN0000028,2024-03-20,Revenue,Subscription Revenue,2615.6,CL00355,SAL004299,Paid,FAC-000028
FIN0006154,2024-03-21,Expense,Bureaux & équipement,1702.64,,,Paid,DEP-006154
FIN0000006,2024-03-23,Revenue,Subscription Revenue,345.41,CL00262,SAL003114,Late,FAC-000006
FIN0006150,2024-03-24,Expense,Infrastructure Cloud,837.0,,,Paid,DEP-006150
FIN0000016,2024-03-25,Revenue,Subscription Revenue,3280.54,CL00386,SAL004660,Paid,FAC-000016
FIN0006151,2024-03-26,Expense,Outils SaaS internes,800.31,,,Paid,DEP-006151
FIN0000048,2024-03-26,Revenue,Subscription Revenue,1658.47,CL00302,SAL003602,Paid,FAC-000048
FIN0006158,2024-03-27,Expense,Déplacements & événements,1468.91,,,Paid,DEP-006158
FIN0000018,2024-03-27,Revenue,One-time Revenue,7830.73,CL00397,SAL004774,Paid,FAC-000018
FIN0000049,2024-03-27,Revenue,One-time Revenue,8818.05,CL00498,SAL006066,Paid,FAC-000049
FIN0000035,2024-03-27,Revenue,Subscription Revenue,1105.76,CL00395,SAL004751,Paid,FAC-000035
FIN0000069,2024-03-31,Revenue,Subscription Revenue,1750.94,CL00330,SAL003874,Paid,FAC-000069
FIN0000054,2024-03-31,Revenue,Subscription Revenue,259.33,CL00347,SAL004200,Paid,FAC-000054
FIN0000052,2024-03-31,Revenue,One-time Revenue,4249.38,CL00498,SAL006073,Paid,FAC-000052
FIN0000056,2024-04-01,Revenue,Subscription Revenue,4998.14,CL00002,SAL000010,Paid,FAC-000056
FIN0006176,2024-04-01,Expense,Déplacements & événements,627.94,,,Paid,DEP-006176
FIN0006168,2024-04-03,Expense,Infrastructure Cloud,1308.53,,,Paid,DEP-006168
FIN0000077,2024-04-06,Revenue,Subscription Revenue,2011.75,CL00430,SAL005269,Paid,FAC-000077
FIN0000040,2024-04-07,Revenue,Subscription Revenue,576.57,CL00053,SAL000500,Paid,FAC-000040
FIN0000039,2024-04-07,Revenue,One-time Revenue,32547.86,CL00302,SAL003594,Paid,FAC-000039
FIN0006165,2024-04-07,Expense,Marketing & Publicité,6960.14,,,Paid,DEP-006165
FIN0000042,2024-04-09,Revenue,Subscription Revenue,772.2,CL00241,SAL002815,Paid,FAC-000042
FIN0006171,2024-04-09,Expense,Bureaux & équipement,1373.16,,,Paid,DEP-006171
FIN0000046,2024-04-09,Revenue,Subscription Revenue,524.01,CL00494,SAL006016,Paid,FAC-000046
FIN0000064,2024-04-09,Revenue,Subscription Revenue,790.52,CL00395,SAL004764,Paid,FAC-000064
FIN0000047,2024-04-10,Revenue,Subscription Revenue,404.56,CL00136,SAL001682,Paid,FAC-000047
FIN0006169,2024-04-12,Expense,Outils SaaS internes,502.64,,,Paid,DEP-006169
FIN0006162,2024-04-12,Expense,Salaires & charges,28146.12,,,Paid,DEP-006162
FIN0000036,2024-04-14,Revenue,Subscription Revenue,1258.99,CL00190,SAL002198,Paid,FAC-000036
FIN0000070,2024-04-15,Revenue,Subscription Revenue,1166.76,CL00014,SAL000165,Paid,FAC-000070
FIN0000053,2024-04-15,Revenue,Subscription Revenue,1829.97,CL00270,SAL003182,Paid,FAC-000053
FIN0000101,2024-04-16,Revenue,Subscription Revenue,713.21,CL00334,SAL003964,Paid,FAC-000101
FIN0000102,2024-04-16,Revenue,Subscription Revenue,1894.02,CL00352,SAL004270,Paid,FAC-000102
FIN0000103,2024-04-16,Revenue,Subscription Revenue,1159.43,CL00162,SAL001897,Paid,FAC-000103
FIN0006178,2024-04-18,Expense,OpenAI / LLM API,2041.4,,,Paid,DEP-006178
FIN0006166,2024-04-18,Expense,Infrastructure Cloud,1308.53,,,Paid,DEP-006166
FIN0006172,2024-04-18,Expense,Bureaux & équipement,1373.16,,,Paid,DEP-006172
FIN0006173,2024-04-19,Expense,Bureaux & équipement,1373.16,,,Paid,DEP-006173
FIN0000073,2024-04-19,Revenue,One-time Revenue,2450.32,CL00253,SAL002958,Paid,FAC-000073
FIN0006174,2024-04-20,Expense,Bureaux & équipement,1373.16,,,Paid,DEP-006174
FIN0000060,2024-04-21,Revenue,Subscription Revenue,677.17,CL00132,SAL001627,Paid,FAC-000060
FIN0000005,2024-04-21,Revenue,Subscription Revenue,500.49,CL00386,SAL004666,Late,FAC-000005
FIN0000030,2024-04-22,Revenue,Subscription Revenue,1266.39,CL00190,SAL002200,Late,FAC-000030
FIN0000032,2024-04-23,Revenue,Subscription Revenue,995.91,CL00322,SAL003790,Late,FAC-000032
FIN0006163,2024-04-23,Expense,Salaires & charges,28146.12,,,Paid,DEP-006163
FIN0000079,2024-04-24,Revenue,Subscription Revenue,1105.37,CL00253,SAL002977,Paid,FAC-000079
FIN0000044,2024-04-24,Revenue,Subscription Revenue,711.51,CL00220,SAL002524,Paid,FAC-000044
FIN0006170,2024-04-25,Expense,Outils SaaS internes,502.64,,,Paid,DEP-006170
FIN0006175,2024-04-25,Expense,Frais juridiques & conseil,404.51,,,Paid,DEP-006175
FIN0006177,2024-04-25,Expense,Déplacements & événements,627.94,,,Paid,DEP-006177
FIN0000066,2024-04-25,Revenue,Subscription Revenue,2029.23,CL00392,SAL004735,Paid,FAC-000066
FIN0006164,2024-04-25,Expense,Salaires & charges,28146.12,,,Paid,DEP-006164
FIN0000067,2024-04-26,Revenue,One-time Revenue,26882.24,CL00053,SAL000522,Paid,FAC-000067
FIN0000116,2024-04-26,Revenue,Subscription Revenue,792.22,CL00330,SAL003872,Paid,FAC-000116
FIN0000087,2024-04-27,Revenue,Subscription Revenue,2318.38,CL00344,SAL004125,Paid,FAC-000087
FIN0006167,2024-04-28,Expense,Infrastructure Cloud,1308.53,,,Paid,DEP-006167
FIN0000068,2024-04-28,Revenue,Subscription Revenue,4145.41,CL00122,SAL001457,Paid,FAC-000068
FIN0000092,2024-04-28,Revenue,Subscription Revenue,391.56,CL00347,SAL004165,Paid,FAC-000092
FIN0000127,2024-04-29,Revenue,Subscription Revenue,552.09,CL00270,SAL003183,Paid,FAC-000127
FIN0000055,2024-04-30,Revenue,One-time Revenue,3262.49,CL00262,SAL003105,Paid,FAC-000055
FIN0000099,2024-04-30,Revenue,Subscription Revenue,431.91,CL00395,SAL004759,Paid,FAC-000099
FIN0000100,2024-05-01,Revenue,Subscription Revenue,3547.4,CL00251,SAL002924,Paid,FAC-000100
FIN0000071,2024-05-01,Revenue,Subscription Revenue,427.59,CL00014,SAL000174,Paid,FAC-000071
FIN0006184,2024-05-02,Expense,Infrastructure Cloud,2116.28,,,Paid,DEP-006184
FIN0000072,2024-05-03,Revenue,One-time Revenue,2734.74,CL00322,SAL003789,Paid,FAC-000072
FIN0006183,2024-05-03,Expense,Marketing & Publicité,2552.5,,,Paid,DEP-006183
FIN0000107,2024-05-04,Revenue,Subscription Revenue,338.73,CL00477,SAL005767,Paid,FAC-000107
FIN0000133,2024-05-04,Revenue,Subscription Revenue,488.53,CL00430,SAL005267,Paid,FAC-000133
FIN0006188,2024-05-05,Expense,Bureaux & équipement,4914.56,,,Paid,DEP-006188
FIN0000136,2024-05-05,Revenue,One-time Revenue,13556.05,CL00178,SAL002081,Paid,FAC-000136
FIN0000038,2024-05-06,Revenue,Subscription Revenue,1904.83,CL00330,SAL003861,Late,FAC-000038
FIN0000110,2024-05-06,Revenue,Subscription Revenue,1073.54,CL00220,SAL002521,Paid,FAC-000110
FIN0006181,2024-05-06,Expense,Marketing & Publicité,2552.5,,,Paid,DEP-006181
FIN0000061,2024-05-07,Revenue,One-time Revenue,4234.57,CL00241,SAL002791,Paid,FAC-000061
FIN0000112,2024-05-08,Revenue,One-time Revenue,3086.19,CL00235,SAL002685,Paid,FAC-000112
FIN0000143,2024-05-08,Revenue,Subscription Revenue,2614.1,CL00121,SAL001431,Paid,FAC-000143
FIN0000114,2024-05-08,Revenue,One-time Revenue,14382.43,CL00281,SAL003333,Paid,FAC-000114
FIN0000080,2024-05-09,Revenue,Subscription Revenue,1140.12,CL00465,SAL005658,Paid,FAC-000080
FIN0000063,2024-05-09,Revenue,One-time Revenue,3774.65,CL00306,SAL003646,Paid,FAC-000063
FIN0000065,2024-05-09,Revenue,One-time Revenue,3683.41,CL00461,SAL005593,Paid,FAC-000065
FIN0006191,2024-05-09,Expense,Frais juridiques & conseil,936.76,,,Paid,DEP-006191
FIN0000081,2024-05-10,Revenue,Subscription Revenue,3455.53,CL00494,SAL006010,Paid,FAC-000081
FIN0000117,2024-05-11,Revenue,One-time Revenue,22205.71,CL00328,SAL003827,Paid,FAC-000117
FIN0000086,2024-05-11,Revenue,Subscription Revenue,3615.29,CL00355,SAL004318,Paid,FAC-000086
FIN0000090,2024-05-12,Revenue,Subscription Revenue,766.59,CL00498,SAL006063,Paid,FAC-000090
FIN0000089,2024-05-12,Revenue,One-time Revenue,6949.71,CL00322,SAL003779,Paid,FAC-000089
FIN0000091,2024-05-12,Revenue,Subscription Revenue,315.38,CL00347,SAL004153,Paid,FAC-000091
FIN0000088,2024-05-12,Revenue,Subscription Revenue,404.74,CL00347,SAL004171,Paid,FAC-000088
FIN0000093,2024-05-13,Revenue,Subscription Revenue,720.77,CL00244,SAL002877,Paid,FAC-000093
FIN0006189,2024-05-13,Expense,Frais juridiques & conseil,936.76,,,Paid,DEP-006189
FIN0000151,2024-05-13,Revenue,Subscription Revenue,2745.64,CL00294,SAL003484,Paid,FAC-000151
FIN0000124,2024-05-14,Revenue,Subscription Revenue,1101.46,CL00122,SAL001458,Paid,FAC-000124
FIN0006186,2024-05-14,Expense,Outils SaaS internes,942.95,,,Paid,DEP-006186
FIN0000094,2024-05-14,Revenue,Subscription Revenue,217.08,CL00132,SAL001626,Paid,FAC-000094
FIN0000095,2024-05-14,Revenue,Subscription Revenue,799.14,CL00241,SAL002830,Paid,FAC-000095
FIN0000123,2024-05-14,Revenue,One-time Revenue,1752.23,CL00145,SAL001759,Paid,FAC-000123
FIN0000126,2024-05-14,Revenue,Subscription Revenue,412.26,CL00461,SAL005592,Paid,FAC-000126
FIN0000157,2024-05-15,Revenue,Subscription Revenue,372.84,CL00395,SAL004750,Paid,FAC-000157
FIN0000155,2024-05-15,Revenue,Subscription Revenue,1064.58,CL00430,SAL005271,Paid,FAC-000155
FIN0000098,2024-05-15,Revenue,Subscription Revenue,754.52,CL00021,SAL000233,Paid,FAC-000098
FIN0000096,2024-05-15,Revenue,Subscription Revenue,4786.02,CL00386,SAL004661,Paid,FAC-000096
FIN0006194,2024-05-15,Expense,Déplacements & événements,995.62,,,Paid,DEP-006194
FIN0006190,2024-05-16,Expense,Frais juridiques & conseil,936.76,,,Paid,DEP-006190
FIN0000105,2024-05-16,Revenue,Subscription Revenue,1680.46,CL00386,SAL004681,Paid,FAC-000105
FIN0006193,2024-05-16,Expense,Déplacements & événements,995.62,,,Paid,DEP-006193
FIN0000129,2024-05-16,Revenue,Subscription Revenue,1206.19,CL00220,SAL002517,Paid,FAC-000129
FIN0006195,2024-05-17,Expense,Déplacements & événements,995.62,,,Paid,DEP-006195
FIN0000058,2024-05-18,Revenue,Subscription Revenue,2199.15,CL00355,SAL004308,Late,FAC-000058
FIN0000074,2024-05-19,Revenue,Subscription Revenue,2793.52,CL00021,SAL000230,Paid,FAC-000074
FIN0006185,2024-05-19,Expense,Infrastructure Cloud,2116.28,,,Paid,DEP-006185
FIN0000076,2024-05-20,Revenue,One-time Revenue,3624.86,CL00322,SAL003788,Paid,FAC-000076
FIN0006192,2024-05-20,Expense,Déplacements & événements,995.62,,,Paid,DEP-006192
FIN0000139,2024-05-21,Revenue,Subscription Revenue,4164.12,CL00399,SAL004855,Paid,FAC-000139
FIN0000172,2024-05-22,Revenue,Subscription Revenue,804.34,CL00461,SAL005606,Paid,FAC-000172
FIN0000141,2024-05-23,Revenue,Subscription Revenue,492.93,CL00348,SAL004212,Paid,FAC-000141
FIN0000111,2024-05-23,Revenue,Subscription Revenue,426.86,CL00178,SAL002071,Paid,FAC-000111
FIN0006187,2024-05-23,Expense,Outils SaaS internes,942.95,,,Paid,DEP-006187
FIN0000062,2024-05-23,Revenue,Subscription Revenue,523.67,CL00498,SAL006070,Late,FAC-000062
FIN0000078,2024-05-23,Revenue,Subscription Revenue,681.22,CL00451,SAL005475,Paid,FAC-000078
FIN0000174,2024-05-23,Revenue,Subscription Revenue,695.54,CL00222,SAL002579,Paid,FAC-000174
FIN0000034,2024-05-24,Revenue,Subscription Revenue,768.18,CL00136,SAL001684,Late,FAC-000034
FIN0000033,2024-05-24,Revenue,One-time Revenue,1719.16,CL00330,SAL003905,Late,FAC-000033
FIN0000179,2024-05-24,Revenue,One-time Revenue,17196.75,CL00465,SAL005647,Paid,FAC-000179
FIN0000147,2024-05-25,Revenue,Subscription Revenue,2065.48,CL00347,SAL004187,Paid,FAC-000147
FIN0006180,2024-05-25,Expense,Salaires & charges,23034.22,,,Paid,DEP-006180
FIN0006179,2024-05-25,Expense,Salaires & charges,23034.22,,,Paid,DEP-006179
FIN0000084,2024-05-25,Revenue,One-time Revenue,3969.22,CL00235,SAL002681,Paid,FAC-000084
FIN0000118,2024-05-26,Revenue,Subscription Revenue,1059.22,CL00302,SAL003598,Paid,FAC-000118
FIN0000115,2024-05-26,Revenue,Subscription Revenue,2071.12,CL00397,SAL004787,Paid,FAC-000115
FIN0000085,2024-05-26,Revenue,Subscription Revenue,739.01,CL00220,SAL002513,Paid,FAC-000085
FIN0000188,2024-05-26,Revenue,Subscription Revenue,3951.82,CL00461,SAL005612,Paid,FAC-000188
FIN0006196,2024-05-26,Expense,OpenAI / LLM API,2823.05,,,Paid,DEP-006196
FIN0000150,2024-05-27,Revenue,One-time Revenue,2324.78,CL00415,SAL005046,Paid,FAC-000150
FIN0000194,2024-05-27,Revenue,Subscription Revenue,303.06,CL00132,SAL001613,Paid,FAC-000194
FIN0000120,2024-05-27,Revenue,One-time Revenue,2039.65,CL00178,SAL002063,Paid,FAC-000120
FIN0000195,2024-05-28,Revenue,Subscription Revenue,686.35,CL00371,SAL004491,Paid,FAC-000195
FIN0006182,2024-05-28,Expense,Marketing & Publicité,2552.5,,,Paid,DEP-006182
FIN0000122,2024-05-28,Revenue,One-time Revenue,2228.32,CL00494,SAL006012,Paid,FAC-000122
FIN0000152,2024-05-29,Revenue,One-time Revenue,902.89,CL00281,SAL003328,Paid,FAC-000152
FIN0000125,2024-05-29,Revenue,Subscription Revenue,802.87,CL00479,SAL005792,Paid,FAC-000125
FIN0000199,2024-05-29,Revenue,Subscription Revenue,507.23,CL00253,SAL002960,Paid,FAC-000199
FIN0000153,2024-05-29,Revenue,Subscription Revenue,4909.8,CL00222,SAL002567,Paid,FAC-000153
FIN0000128,2024-05-30,Revenue,One-time Revenue,2454.26,CL00121,SAL001435,Paid,FAC-000128
FIN0000097,2024-05-30,Revenue,Subscription Revenue,456.42,CL00281,SAL003321,Paid,FAC-000097
FIN0000201,2024-05-31,Revenue,Subscription Revenue,914.48,CL00283,SAL003349,Paid,FAC-000201
FIN0000203,2024-06-02,Revenue,Subscription Revenue,3617.96,CL00053,SAL000507,Paid,FAC-000203
FIN0000075,2024-06-03,Revenue,One-time Revenue,1499.04,CL00253,SAL002973,Late,FAC-000075
FIN0000132,2024-06-03,Revenue,One-time Revenue,1493.57,CL00224,SAL002601,Paid,FAC-000132
FIN0000165,2024-06-03,Revenue,Subscription Revenue,607.87,CL00220,SAL002523,Paid,FAC-000165
FIN0000037,2024-06-03,Revenue,Subscription Revenue,1753.89,CL00136,SAL001694,Late,FAC-000037
FIN0000208,2024-06-03,Revenue,Subscription Revenue,455.8,CL00158,SAL001881,Paid,FAC-000208
FIN0000134,2024-06-03,Revenue,Subscription Revenue,2233.5,CL00132,SAL001619,Paid,FAC-000134
FIN0000131,2024-06-03,Revenue,One-time Revenue,3166.17,CL00251,SAL002926,Paid,FAC-000131
FIN0000135,2024-06-04,Revenue,Subscription Revenue,1665.23,CL00002,SAL000006,Paid,FAC-000135
FIN0000215,2024-06-04,Revenue,Subscription Revenue,4971.49,CL00190,SAL002206,Paid,FAC-000215
FIN0000108,2024-06-04,Revenue,Subscription Revenue,918.69,CL00347,SAL004191,Paid,FAC-000108
FIN0006207,2024-06-04,Expense,Bureaux & équipement,1118.8,,,Paid,DEP-006207
FIN0000109,2024-06-04,Revenue,Subscription Revenue,1458.36,CL00241,SAL002784,Paid,FAC-000109
FIN0000171,2024-06-05,Revenue,One-time Revenue,2676.67,CL00451,SAL005476,Paid,FAC-000171
FIN0000168,2024-06-05,Revenue,Subscription Revenue,2453.25,CL00074,SAL000830,Paid,FAC-000168
FIN0006210,2024-06-05,Expense,Déplacements & événements,867.53,,,Paid,DEP-006210
FIN0006211,2024-06-05,Expense,Déplacements & événements,867.53,,,Paid,DEP-006211
FIN0000137,2024-06-05,Revenue,Subscription Revenue,599.22,CL00132,SAL001629,Paid,FAC-000137
FIN0000041,2024-06-07,Revenue,One-time Revenue,27275.14,CL00027,SAL000266,Late,FAC-000041
FIN0000113,2024-06-07,Revenue,Subscription Revenue,1438.65,CL00027,SAL000257,Paid,FAC-000113
FIN0000045,2024-06-08,Revenue,Subscription Revenue,1210.44,CL00355,SAL004323,Late,FAC-000045
FIN0006197,2024-06-08,Expense,Salaires & charges,62430.47,,,Paid,DEP-006197
FIN0000144,2024-06-08,Revenue,Subscription Revenue,825.69,CL00461,SAL005595,Paid,FAC-000144
FIN0006214,2024-06-08,Expense,OpenAI / LLM API,1599.07,,,Paid,DEP-006214
FIN0000082,2024-06-09,Revenue,One-time Revenue,1764.37,CL00355,SAL004290,Late,FAC-000082
FIN0000145,2024-06-09,Revenue,Subscription Revenue,1289.12,CL00122,SAL001465,Paid,FAC-000145
FIN0000083,2024-06-09,Revenue,Subscription Revenue,938.43,CL00334,SAL003946,Late,FAC-000083
FIN0000185,2024-06-09,Revenue,Subscription Revenue,420.68,CL00371,SAL004476,Paid,FAC-000185
FIN0000146,2024-06-09,Revenue,One-time Revenue,1920.04,CL00498,SAL006081,Paid,FAC-000146
FIN0000149,2024-06-09,Revenue,One-time Revenue,1833.25,CL00057,SAL000594,Paid,FAC-000149
FIN0000148,2024-06-09,Revenue,Subscription Revenue,299.38,CL00477,SAL005761,Paid,FAC-000148
FIN0006202,2024-06-10,Expense,Infrastructure Cloud,2074.49,,,Paid,DEP-006202
FIN0006204,2024-06-10,Expense,Outils SaaS internes,860.55,,,Paid,DEP-006204
FIN0006200,2024-06-10,Expense,Marketing & Publicité,7209.62,,,Paid,DEP-006200
FIN0000186,2024-06-10,Revenue,Subscription Revenue,289.14,CL00262,SAL003110,Paid,FAC-000186
FIN0006208,2024-06-11,Expense,Bureaux & équipement,1118.8,,,Paid,DEP-006208
FIN0000193,2024-06-11,Revenue,Subscription Revenue,547.22,CL00241,SAL002811,Paid,FAC-000193
FIN0000191,2024-06-11,Revenue,Subscription Revenue,327.9,CL00182,SAL002113,Paid,FAC-000191
FIN0000190,2024-06-11,Revenue,Subscription Revenue,2944.07,CL00190,SAL002195,Paid,FAC-000190
FIN0000119,2024-06-11,Revenue,One-time Revenue,20989.1,CL00435,SAL005313,Paid,FAC-000119
FIN0000233,2024-06-12,Revenue,Subscription Revenue,2799.78,CL00053,SAL000521,Paid,FAC-000233
FIN0000121,2024-06-12,Revenue,Subscription Revenue,1062.29,CL00348,SAL004206,Paid,FAC-000121
FIN0000237,2024-06-13,Revenue,One-time Revenue,25448.13,CL00386,SAL004665,Paid,FAC-000237
FIN0006213,2024-06-13,Expense,OpenAI / LLM API,1599.07,,,Paid,DEP-006213
FIN0000238,2024-06-13,Revenue,One-time Revenue,7790.62,CL00335,SAL003972,Paid,FAC-000238
FIN0000154,2024-06-14,Revenue,Subscription Revenue,1290.42,CL00322,SAL003778,Paid,FAC-000154
FIN0000200,2024-06-14,Revenue,Subscription Revenue,1186.15,CL00162,SAL001894,Paid,FAC-000200
FIN0006203,2024-06-15,Expense,Outils SaaS internes,860.55,,,Paid,DEP-006203
FIN0000244,2024-06-15,Revenue,Subscription Revenue,1614.7,CL00132,SAL001617,Paid,FAC-000244
FIN0006201,2024-06-15,Expense,Infrastructure Cloud,2074.49,,,Paid,DEP-006201
FIN0006206,2024-06-15,Expense,Bureaux & équipement,1118.8,,,Paid,DEP-006206
FIN0000161,2024-06-15,Revenue,Subscription Revenue,605.84,CL00158,SAL001882,Paid,FAC-000161
FIN0006205,2024-06-16,Expense,Bureaux & équipement,1118.8,,,Paid,DEP-006205
