touch_id,campaign_id,client_id,touch_date,touch_type
TCH0000100,CMP0001,CL00128,2024-10-04,lead
TCH0000101,CMP0001,CL00216,2024-10-13,lead
TCH0000102,CMP0001,CL00345,2024-12-03,impression
TCH0000103,CMP0001,CL00484,2024-11-19,impression
TCH0000104,CMP0001,CL00369,2024-10-28,impression
TCH0000105,CMP0001,CL00079,2024-11-15,lead
TCH0000106,CMP0001,CL00099,2024-12-09,impression
TCH0000107,CMP0001,CL00440,2024-12-19,impression
TCH0000108,CMP0001,CL00223,2024-08-28,conversion
TCH0000109,CMP0001,CL00419,2024-11-08,lead
TCH0000110,CMP0001,CL00188,2024-11-01,impression
TCH0000111,CMP0001,CL00141,2024-11-04,lead
TCH0000112,CMP0001,CL00025,2024-11-23,lead
TCH0000113,CMP0001,CL00217,2024-10-01,impression
TCH0000114,CMP0001,CL00034,2024-10-13,click
TCH0000115,CMP0001,CL00260,2024-09-22,click
TCH0000116,CMP0001,CL00439,2024-12-17,impression
TCH0000117,CMP0001,CL00179,2024-09-30,impression
TCH0000118,CMP0001,CL00169,2024-11-27,lead
TCH0000119,CMP0001,CL00321,2024-12-12,click
TCH0000120,CMP0001,CL00194,2024-08-27,click
TCH0000121,CMP0001,CL00307,2024-10-24,impression
TCH0000122,CMP0001,CL00316,2024-12-13,lead
TCH0000123,CMP0001,CL00495,2024-10-26,lead
TCH0000124,CMP0001,CL00266,2024-09-11,lead
TCH0000125,CMP0001,CL00292,2024-12-01,conversion
TCH0000126,CMP0001,CL00441,2024-11-14,impression
TCH0000127,CMP0001,CL00212,2024-11-19,click
TCH0000128,CMP0001,CL00364,2024-11-18,click
TCH0000129,CMP0001,CL00152,2024-08-25,conversion
TCH0000130,CMP0001,CL00232,2024-11-15,click
TCH0000131,CMP0001,CL00246,2024-09-04,click
TCH0000132,CMP0001,CL00473,2024-08-30,click
TCH0000133,CMP0001,CL00207,2024-11-12,impression
TCH0000134,CMP0001,CL00476,2024-11-02,impression
TCH0000135,CMP0001,CL00046,2024-12-10,impression
TCH0000136,CMP0001,CL00483,2024-09-17,impression
TCH0000137,CMP0001,CL00271,2024-10-02,click
TCH0000138,CMP0001,CL00466,2024-09-08,impression
TCH0000139,CMP0001,CL00358,2024-09-26,impression
TCH0000140,CMP0001,CL00077,2024-11-07,click
TCH0000141,CMP0001,CL00143,2024-09-18,impression
TCH0000142,CMP0001,CL00196,2024-10-02,impression
TCH0000143,CMP0001,CL00008,2024-11-17,impression
TCH0000144,CMP0001,CL00470,2024-09-23,impression
TCH0000145,CMP0001,CL00431,2024-11-06,impression
TCH0000146,CMP0001,CL00016,2024-10-17,impression
TCH0000147,CMP0001,CL00229,2024-10-20,click
TCH0000148,CMP0001,CL00130,2024-09-06,impression
TCH0000149,CMP0001,CL00102,2024-10-15,impression
TCH0000150,CMP0001,CL00248,2024-11-04,click
TCH0000151,CMP0001,CL00356,2024-12-03,click
TCH0000152,CMP0001,CL00250,2024-11-06,impression
TCH0000153,CMP0001,CL00438,2024-12-01,lead
TCH0000154,CMP0001,CL00198,2024-11-13,click
TCH0000155,CMP0001,CL00389,2024-12-19,lead
TCH0000156,CMP0001,CL00111,2024-10-19,impression
TCH0000157,CMP0001,CL00366,2024-11-30,conversion
TCH0000158,CMP0001,CL00187,2024-10-20,click
TCH0000159,CMP0001,CL00361,2024-11-15,lead
TCH0000160,CMP0001,CL00114,2024-10-19,impression
TCH0000161,CMP0001,CL00089,2024-09-20,lead
TCH0000162,CMP0001,CL00157,2024-11-07,conversion
TCH0000163,CMP0001,CL00119,2024-10-11,click
TCH0000164,CMP0001,CL00183,2024-11-12,lead
TCH0000165,CMP0001,CL00378,2024-12-08,click
TCH0000166,CMP0001,CL00120,2024-08-28,click
TCH0000167,CMP0001,CL00365,2024-10-06,click
TCH0000168,CMP0001,CL00088,2024-09-14,lead
TCH0000169,CMP0001,CL00033,2024-11-05,impression
TCH0000170,CMP0001,CL00047,2024-09-06,lead
TCH0000171,CMP0001,CL00184,2024-11-28,impression
TCH0000172,CMP0001,CL00155,2024-11-10,lead
TCH0000173,CMP0001,CL00087,2024-10-27,click
TCH0000174,CMP0001,CL00499,2024-10-13,click
TCH0000175,CMP0001,CL00259,2024-10-29,conversion
TCH0000176,CMP0001,CL00343,2024-10-10,impression
TCH0000177,CMP0001,CL00398,2024-11-30,click
TCH0000178,CMP0001,CL00493,2024-11-27,click
TCH0000179,CMP0001,CL00161,2024-11-27,click
TCH0000180,CMP0001,CL00186,2024-09-22,click
TCH0000181,CMP0001,CL00286,2024-09-03,conversion
TCH0000182,CMP0001,CL00108,2024-11-01,click
TCH0000183,CMP0001,CL00422,2024-11-04,click
TCH0000184,CMP0001,CL00247,2024-10-30,lead
TCH0000185,CMP0001,CL00424,2024-09-15,conversion
TCH0000186,CMP0001,CL00282,2024-09-02,impression
TCH0000187,CMP0001,CL00312,2024-11-30,lead
TCH0000188,CMP0001,CL00377,2024-10-09,click
TCH0000189,CMP0001,CL00233,2024-11-12,impression
TCH0000190,CMP0001,CL00472,2024-12-01,lead
TCH0000191,CMP0001,CL00354,2024-12-11,click
TCH0000192,CMP0001,CL00402,2024-08-25,impression
TCH0000193,CMP0001,CL00408,2024-09-11,click
TCH0000194,CMP0001,CL00166,2024-10-10,click
TCH0000195,CMP0001,CL00048,2024-09-17,click
TCH0000196,CMP0001,CL00017,2024-10-01,click
TCH0000197,CMP0001,CL00329,2024-12-12,impression
TCH0000198,CMP0001,CL00236,2024-12-16,click
TCH0000199,CMP0001,CL00267,2024-12-20,impression
TCH0000200,CMP0001,CL00144,2024-09-04,impression
TCH0000201,CMP0001,CL00227,2024-12-21,click
TCH0000202,CMP0001,CL00475,2024-09-09,impression
TCH0000203,CMP0001,CL00314,2024-10-08,click
TCH0000204,CMP0001,CL00150,2024-08-31,lead
TCH0000205,CMP0001,CL00460,2024-12-01,impression
TCH0000206,CMP0001,CL00481,2024-12-06,lead
TCH0000207,CMP0001,CL00359,2024-09-22,lead
TCH0000208,CMP0001,CL00453,2024-10-11,impression
TCH0000209,CMP0001,CL00208,2024-10-09,impression
TCH0000210,CMP0001,CL00304,2024-10-29,click
TCH0000211,CMP0001,CL00173,2024-10-20,impression
TCH0000212,CMP0001,CL00195,2024-10-10,conversion
TCH0000213,CMP0001,CL00256,2024-12-03,impression
TCH0000214,CMP0001,CL00252,2024-12-22,click
TCH0000215,CMP0001,CL00490,2024-09-10,impression
TCH0000216,CMP0001,CL00004,2024-08-26,lead
TCH0000217,CMP0001,CL00261,2024-10-22,click
TCH0000218,CMP0001,CL00148,2024-12-21,impression
TCH0000219,CMP0001,CL00410,2024-11-10,click
TCH0000220,CMP0001,CL00287,2024-10-18,lead
TCH0000221,CMP0001,CL00036,2024-11-05,click
TCH0000222,CMP0001,CL00153,2024-09-15,click
TCH0000223,CMP0001,CL00383,2024-10-30,click
TCH0000224,CMP0001,CL00324,2024-10-06,impression
TCH0000225,CMP0001,CL00394,2024-11-05,click
TCH0000226,CMP0001,CL00486,2024-12-04,impression
TCH0000227,CMP0001,CL00164,2024-10-24,click
TCH0000228,CMP0001,CL00094,2024-10-29,impression
TCH0000229,CMP0001,CL00418,2024-12-20,click
TCH0000230,CMP0001,CL00039,2024-11-17,impression
TCH0000231,CMP0001,CL00104,2024-10-21,click
TCH0000232,CMP0001,CL00413,2024-09-11,lead
TCH0000233,CMP0001,CL00138,2024-12-21,conversion
TCH0000234,CMP0001,CL00300,2024-11-26,click
TCH0000235,CMP0001,CL00436,2024-09-03,lead
TCH0000236,CMP0001,CL00170,2024-09-04,click
TCH0000237,CMP0001,CL00234,2024-11-22,conversion
TCH0000238,CMP0001,CL00362,2024-09-03,click
TCH0000239,CMP0001,CL00056,2024-11-28,impression
TCH0000240,CMP0001,CL00459,2024-08-31,impression
TCH0000241,CMP0001,CL00085,2024-11-26,click
TCH0000242,CMP0001,CL00368,2024-10-25,click
TCH0000243,CMP0001,CL00106,2024-11-21,click
TCH0000244,CMP0001,CL00310,2024-12-18,lead
TCH0000245,CMP0001,CL00237,2024-09-28,impression
TCH0000246,CMP0001,CL00090,2024-12-13,lead
TCH0000247,CMP0001,CL00201,2024-11-20,click
TCH0000248,CMP0001,CL00018,2024-09-01,click
TCH0000249,CMP0001,CL00045,2024-09-14,impression
TCH0000250,CMP0001,CL00038,2024-12-21,lead
TCH0000251,CMP0001,CL00214,2024-11-07,impression
TCH0000252,CMP0001,CL00181,2024-09-03,click
TCH0000253,CMP0001,CL00400,2024-12-05,impression
TCH0000254,CMP0001,CL00373,2024-09-09,impression
TCH0000255,CMP0001,CL00191,2024-12-05,impression
TCH0000256,CMP0001,CL00293,2024-09-07,impression
TCH0000257,CMP0001,CL00285,2024-11-04,impression
TCH0000258,CMP0001,CL00118,2024-10-17,lead
TCH0000259,CMP0001,CL00066,2024-09-25,lead
TCH0000260,CMP0001,CL00308,2024-10-22,lead
TCH0000261,CMP0001,CL00370,2024-12-06,impression
TCH0000262,CMP0001,CL00379,2024-09-04,impression
TCH0000263,CMP0001,CL00226,2024-12-15,impression
TCH0000264,CMP0001,CL00051,2024-10-23,conversion
TCH0000265,CMP0001,CL00388,2024-11-25,impression
TCH0000266,CMP0001,CL00264,2024-10-16,click
TCH0000267,CMP0001,CL00323,2024-09-19,lead
TCH0000268,CMP0001,CL00414,2024-10-05,click
TCH0000269,CMP0001,CL00006,2024-11-23,impression
TCH0000270,CMP0001,CL00325,2024-09-14,impression
TCH0000271,CMP0001,CL00474,2024-09-30,lead
TCH0000272,CMP0001,CL00127,2024-11-23,click
TCH0000273,CMP0001,CL00290,2024-10-09,lead
TCH0000274,CMP0001,CL00442,2024-10-20,impression
TCH0000275,CMP0001,CL00273,2024-12-07,impression
TCH0000276,CMP0001,CL00215,2024-12-14,click
TCH0000277,CMP0001,CL00123,2024-11-14,conversion
TCH0000278,CMP0001,CL00275,2024-11-14,impression
TCH0000279,CMP0001,CL00080,2024-12-13,click
TCH0000280,CMP0001,CL00062,2024-12-17,click
TCH0000281,CMP0001,CL00042,2024-12-13,lead
TCH0000282,CMP0001,CL00346,2024-10-04,impression
TCH0000283,CMP0001,CL00257,2024-09-05,click
TCH0000284,CMP0001,CL00445,2024-10-10,lead
TCH0000285,CMP0001,CL00037,2024-11-22,lead
TCH0000286,CMP0001,CL00390,2024-11-03,impression
TCH0000287,CMP0001,CL00296,2024-10-04,click
TCH0000288,CMP0001,CL00333,2024-09-15,click
TCH0000289,CMP0001,CL00375,2024-11-13,lead
TCH0000290,CMP0001,CL00206,2024-08-26,impression
TCH0000291,CMP0001,CL00427,2024-09-06,click
TCH0000292,CMP0001,CL00175,2024-09-20,impression
TCH0000293,CMP0001,CL00082,2024-09-17,impression
TCH0000294,CMP0001,CL00172,2024-09-05,conversion
TCH0000295,CMP0001,CL00165,2024-11-11,lead
TCH0000296,CMP0001,CL00013,2024-12-17,click
TCH0000297,CMP0001,CL00084,2024-11-17,impression
TCH0000298,CMP0001,CL00022,2024-12-05,impression
TCH0000299,CMP0001,CL00197,2024-11-11,lead
TCH0000300,CMP0001,CL00050,2024-10-31,conversion
TCH0000301,CMP0001,CL00458,2024-12-10,click
TCH0000302,CMP0001,CL00405,2024-09-24,click
TCH0000303,CMP0001,CL00276,2024-12-15,click
TCH0000304,CMP0001,CL00363,2024-12-13,impression
TCH0000305,CMP0001,CL00433,2024-10-15,conversion
TCH0000306,CMP0001,CL00303,2024-11-25,impression
TCH0000307,CMP0001,CL00265,2024-09-13,impression
TCH0000308,CMP0001,CL00272,2024-11-26,impression
TCH0000309,CMP0001,CL00384,2024-10-03,impression
TCH0000310,CMP0001,CL00456,2024-12-17,impression
TCH0000311,CMP0001,CL00319,2024-10-16,click
TCH0000312,CMP0001,CL00488,2024-12-14,click
TCH0000313,CMP0001,CL00457,2024-09-15,click
TCH0000314,CMP0001,CL00396,2024-09-11,lead
TCH0000315,CMP0001,CL00351,2024-09-20,click
TCH0000316,CMP0001,CL00258,2024-12-12,lead
TCH0000317,CMP0001,CL00204,2024-09-06,impression
TCH0000318,CMP0001,CL00055,2024-11-01,impression
TCH0000319,CMP0001,CL00277,2024-10-17,lead
TCH0000320,CMP0001,CL00243,2024-09-11,click
TCH0000321,CMP0001,CL00404,2024-12-14,click
TCH0000322,CMP0001,CL00332,2024-09-25,lead
TCH0000323,CMP0001,CL00135,2024-12-11,click
TCH0000324,CMP0001,CL00068,2024-10-25,conversion
TCH0000325,CMP0001,CL00003,2024-10-22,click
TCH0000326,CMP0001,CL00064,2024-12-04,lead
TCH0000327,CMP0001,CL00101,2024-11-27,click
TCH0000328,CMP0001,CL00263,2024-08-25,conversion
TCH0000329,CMP0001,CL00044,2024-12-01,click
TCH0000330,CMP0001,CL00339,2024-11-01,conversion
TCH0000331,CMP0001,CL00113,2024-10-07,click
TCH0000332,CMP0001,CL00067,2024-10-12,click
TCH0000333,CMP0001,CL00340,2024-12-18,impression
TCH0000334,CMP0001,CL00309,2024-10-28,conversion
TCH0000335,CMP0001,CL00020,2024-09-03,click
TCH0000336,CMP0001,CL00411,2024-11-24,click
TCH0000337,CMP0001,CL00110,2024-09-15,impression
TCH0000338,CMP0001,CL00357,2024-10-10,impression
TCH0000339,CMP0001,CL00210,2024-11-16,lead
TCH0000340,CMP0001,CL00429,2024-11-08,impression
TCH0000341,CMP0001,CL00492,2024-09-04,click
TCH0000342,CMP0001,CL00171,2024-11-21,impression
TCH0000343,CMP0001,CL00401,2024-09-17,lead
TCH0000344,CMP0001,CL00480,2024-11-04,click
TCH0000345,CMP0001,CL00416,2024-09-01,click
TCH0000346,CMP0001,CL00311,2024-09-30,click
TCH0000347,CMP0001,CL00070,2024-12-03,click
TCH0000348,CMP0001,CL00065,2024-12-22,impression
TCH0000349,CMP0001,CL00218,2024-08-31,lead
TCH0000350,CMP0001,CL00242,2024-08-30,impression
TCH0000351,CMP0001,CL00497,2024-11-29,click
TCH0000352,CMP0001,CL00239,2024-10-19,click
TCH0000353,CMP0001,CL00213,2024-12-07,impression
TCH0000354,CMP0001,CL00076,2024-11-02,conversion
TCH0000355,CMP0001,CL00063,2024-08-29,impression
TCH0000356,CMP0001,CL00448,2024-11-11,click
TCH0000357,CMP0001,CL00301,2024-12-13,impression
TCH0000358,CMP0001,CL00320,2024-11-17,impression
TCH0000359,CMP0001,CL00030,2024-09-14,impression
TCH0000360,CMP0001,CL00409,2024-09-30,lead
TCH0000361,CMP0001,CL00203,2024-10-18,impression
TCH0000362,CMP0001,CL00360,2024-11-03,lead
TCH0000363,CMP0001,CL00245,2024-09-06,click
TCH0000364,CMP0001,CL00381,2024-11-28,impression
TCH0000365,CMP0001,CL00447,2024-11-29,click
TCH0000366,CMP0001,CL00326,2024-11-30,conversion
TCH0000367,CMP0001,CL00403,2024-11-14,impression
TCH0000368,CMP0001,CL00189,2024-12-20,click
TCH0000369,CMP0001,CL00167,2024-09-10,lead
TCH0000370,CMP0001,CL00192,2024-11-28,lead
TCH0000371,CMP0001,CL00468,2024-11-04,impression
TCH0000372,CMP0001,CL00126,2024-09-08,impression
TCH0000373,CMP0001,CL00109,2024-10-13,click
TCH0000374,CMP0001,CL00432,2024-10-30,click
TCH0000375,CMP0001,CL00274,2024-12-14,impression
TCH0000376,CMP0001,CL00154,2024-09-05,lead
TCH0000377,CMP0001,CL00500,2024-11-06,lead
TCH0000378,CMP0001,CL00029,2024-08-26,click
TCH0000379,CMP0001,CL00240,2024-08-25,impression
TCH0000380,CMP0001,CL00091,2024-09-04,click
TCH0000381,CMP0001,CL00137,2024-12-09,click
TCH0000382,CMP0001,CL00353,2024-11-29,lead
TCH0000383,CMP0001,CL00454,2024-11-16,impression
TCH0000384,CMP0001,CL00129,2024-11-09,click
TCH0000385,CMP0002,CL00216,2026-04-14,impression
TCH0000386,CMP0002,CL00312,2026-03-19,click
TCH0000387,CMP0002,CL00432,2026-05-05,click
TCH0000388,CMP0002,CL00041,2026-04-24,impression
TCH0000389,CMP0002,CL00232,2026-03-09,impression
TCH0000390,CMP0002,CL00339,2026-03-16,click
TCH0000391,CMP0002,CL00113,2026-03-14,impression
TCH0000392,CMP0002,CL00245,2026-04-23,click
TCH0000393,CMP0002,CL00412,2026-03-22,lead
TCH0000394,CMP0002,CL00023,2026-04-17,impression
TCH0000395,CMP0002,CL00127,2026-03-20,lead
TCH0000396,CMP0002,CL00259,2026-04-19,conversion
TCH0000397,CMP0002,CL00198,2026-04-06,impression
TCH0000398,CMP0002,CL00007,2026-04-18,impression
TCH0000399,CMP0002,CL00492,2026-04-16,impression
TCH0000400,CMP0002,CL00114,2026-04-04,impression
TCH0000401,CMP0002,CL00048,2026-04-26,lead
TCH0000402,CMP0002,CL00426,2026-03-11,lead
TCH0000403,CMP0002,CL00157,2026-05-03,impression
TCH0000404,CMP0002,CL00194,2026-04-25,click
TCH0000405,CMP0002,CL00076,2026-03-15,lead
TCH0000406,CMP0002,CL00179,2026-04-21,click
TCH0000407,CMP0002,CL00369,2026-03-28,impression
TCH0000408,CMP0002,CL00137,2026-04-18,impression
TCH0000409,CMP0002,CL00353,2026-04-24,impression
TCH0000410,CMP0002,CL00429,2026-03-14,lead
TCH0000411,CMP0002,CL00209,2026-04-30,impression
TCH0000412,CMP0002,CL00025,2026-03-22,click
TCH0000413,CMP0002,CL00437,2026-04-07,lead
TCH0000414,CMP0002,CL00197,2026-03-17,conversion
TCH0000415,CMP0002,CL00118,2026-04-05,impression
TCH0000416,CMP0002,CL00453,2026-03-17,lead
TCH0000417,CMP0002,CL00026,2026-04-15,conversion
TCH0000418,CMP0002,CL00032,2026-03-21,impression
TCH0000419,CMP0002,CL00042,2026-04-19,impression
TCH0000420,CMP0002,CL00413,2026-03-17,lead
TCH0000421,CMP0002,CL00129,2026-04-05,impression
TCH0000422,CMP0002,CL00035,2026-03-29,lead
TCH0000423,CMP0002,CL00495,2026-04-14,lead
TCH0000424,CMP0002,CL00207,2026-04-16,click
TCH0000425,CMP0003,CL00097,2025-12-18,lead
TCH0000426,CMP0003,CL00037,2025-10-13,lead
TCH0000427,CMP0003,CL00354,2025-11-12,conversion
TCH0000428,CMP0003,CL00137,2025-11-20,lead
TCH0000429,CMP0003,CL00444,2025-10-27,lead
TCH0000430,CMP0003,CL00023,2025-12-01,impression
TCH0000431,CMP0003,CL00356,2025-10-31,click
TCH0000432,CMP0003,CL00217,2025-12-12,click
TCH0000433,CMP0003,CL00445,2025-10-18,click
TCH0000434,CMP0003,CL00041,2025-10-07,conversion
TCH0000435,CMP0003,CL00157,2025-10-10,click
TCH0000436,CMP0003,CL00096,2025-12-03,impression
TCH0000437,CMP0003,CL00249,2025-11-15,click
TCH0000438,CMP0003,CL00353,2025-12-05,lead
TCH0000439,CMP0003,CL00488,2025-11-09,impression
TCH0000440,CMP0003,CL00166,2025-11-17,impression
TCH0000441,CMP0003,CL00105,2025-11-30,conversion
TCH0000442,CMP0003,CL00336,2025-10-16,impression
TCH0000443,CMP0003,CL00056,2025-11-24,impression
TCH0000444,CMP0003,CL00432,2025-11-11,impression
TCH0000445,CMP0003,CL00206,2025-11-28,lead
TCH0000446,CMP0003,CL00007,2025-12-02,impression
TCH0000447,CMP0003,CL00385,2025-11-10,lead
TCH0000448,CMP0003,CL00426,2025-12-11,click
TCH0000449,CMP0003,CL00180,2025-12-05,impression
TCH0000450,CMP0003,CL00325,2025-11-10,click
TCH0000451,CMP0003,CL00285,2025-12-10,impression
TCH0000452,CMP0003,CL00022,2025-12-13,impression
TCH0000453,CMP0003,CL00200,2025-10-09,click
TCH0000454,CMP0003,CL00216,2025-10-27,conversion
TCH0000455,CMP0003,CL00500,2025-11-16,lead
TCH0000456,CMP0003,CL00198,2025-12-05,impression
TCH0000457,CMP0003,CL00048,2025-12-12,lead
TCH0000458,CMP0003,CL00311,2025-10-11,conversion
TCH0000459,CMP0003,CL00026,2025-11-26,lead
TCH0000460,CMP0003,CL00401,2025-10-15,impression
TCH0000461,CMP0003,CL00246,2025-11-22,impression
TCH0000462,CMP0003,CL00058,2025-10-20,click
TCH0000463,CMP0003,CL00077,2025-10-12,lead
TCH0000464,CMP0003,CL00130,2025-10-22,conversion
TCH0000465,CMP0003,CL00207,2025-10-24,impression
TCH0000466,CMP0003,CL00032,2025-11-11,conversion
TCH0000467,CMP0003,CL00400,2025-11-19,conversion
TCH0000468,CMP0003,CL00024,2025-10-22,lead
TCH0000469,CMP0003,CL00164,2025-10-23,impression
TCH0000470,CMP0003,CL00436,2025-10-27,click
TCH0000471,CMP0003,CL00191,2025-10-27,impression
TCH0000472,CMP0003,CL00453,2025-11-01,click
TCH0000473,CMP0003,CL00359,2025-11-15,impression
TCH0000474,CMP0003,CL00495,2025-11-29,click
TCH0000475,CMP0003,CL00025,2025-11-15,impression
TCH0000476,CMP0003,CL00457,2025-11-22,lead
TCH0000477,CMP0003,CL00046,2025-12-16,lead
TCH0000478,CMP0003,CL00378,2025-12-16,impression
TCH0000479,CMP0003,CL00416,2025-12-12,click
TCH0000480,CMP0003,CL00297,2025-10-13,lead
TCH0000481,CMP0003,CL00282,2025-10-28,conversion
TCH0000482,CMP0003,CL00315,2025-10-15,impression
TCH0000483,CMP0003,CL00184,2025-11-28,click
TCH0000484,CMP0003,CL00113,2025-12-11,click
TCH0000485,CMP0003,CL00259,2025-11-23,impression
TCH0000486,CMP0003,CL00036,2025-12-18,click
TCH0000487,CMP0003,CL00440,2025-10-16,impression
TCH0000488,CMP0003,CL00179,2025-11-09,click
TCH0000489,CMP0003,CL00272,2025-10-28,impression
TCH0000490,CMP0003,CL00161,2025-12-11,impression
TCH0000491,CMP0003,CL00287,2025-12-17,click
TCH0000492,CMP0003,CL00245,2025-11-06,impression
TCH0000493,CMP0003,CL00473,2025-11-24,impression
TCH0000494,CMP0003,CL00437,2025-11-20,click
TCH0000495,CMP0003,CL00172,2025-12-09,click
TCH0000496,CMP0003,CL00454,2025-10-29,impression
TCH0000497,CMP0003,CL00226,2025-12-05,impression
TCH0000498,CMP0003,CL00290,2025-10-26,click
TCH0000499,CMP0003,CL00384,2025-12-18,lead
TCH0000500,CMP0003,CL00129,2025-10-10,impression
TCH0000501,CMP0003,CL00192,2025-11-10,impression
TCH0000502,CMP0003,CL00035,2025-12-15,lead
