sale_id,client_id,sale_date,product,product_category,gross_amount_eur,discount_eur,net_amount_eur,deal_stage,sales_cycle_days,sales_rep
SAL006066,CL00498,2024-03-12,Custom Development,one_time,8818.05,0.0,8818.05,Won,72,Léa M.
SAL005659,CL00465,2024-03-12,Core Premium,subscription,5192.09,259.6,4932.49,Won,56,Marie D.
SAL006074,CL00498,2024-03-15,Core Premium,subscription,4452.17,222.61,4229.56,Won,63,Léa M.
SAL006073,CL00498,2024-03-16,Training & Onboarding,one_time,4249.38,0.0,4249.38,Won,20,Léa M.
SAL003182,CL00270,2024-03-16,Vector Subscription,subscription,2033.3,203.33,1829.97,Won,34,Amine B.
SAL004200,CL00347,2024-03-16,Premium Support,subscription,259.33,0.0,259.33,Won,110,Karim T.
SAL003105,CL00262,2024-03-16,Training & Onboarding,one_time,3624.99,362.5,3262.49,Won,37,Yanis F.
SAL000010,CL00002,2024-03-17,Core Premium,subscription,4998.14,0.0,4998.14,Won,51,Marie D.
SAL004697,CL00387,2024-03-19,Custom Development,one_time,17671.09,883.55,16787.54,Won,90,Amine B.
SAL004308,CL00355,2024-03-19,Core Premium,subscription,2314.89,115.74,2199.15,Won,114,Marie D.
SAL002789,CL00241,2024-03-20,Core Premium,subscription,2751.29,0.0,2751.29,Won,101,Amine B.
SAL001627,CL00132,2024-03-22,Ledger Subscription,subscription,677.17,0.0,677.17,Won,36,Karim T.
SAL002791,CL00241,2024-03-23,Training & Onboarding,one_time,4234.57,0.0,4234.57,Won,33,Amine B.
SAL006070,CL00498,2024-03-24,Lex Subscription,subscription,581.85,58.18,523.67,Won,112,Léa M.
SAL003646,CL00306,2024-03-25,Training & Onboarding,one_time,3774.65,0.0,3774.65,Won,89,Yanis F.
SAL004764,CL00395,2024-03-25,Premium Support,subscription,878.35,87.83,790.52,Won,67,Karim T.
SAL005593,CL00461,2024-03-25,Training & Onboarding,one_time,3683.41,0.0,3683.41,Won,49,Marie D.
SAL004735,CL00392,2024-03-26,Core Premium,subscription,2029.23,0.0,2029.23,Won,19,Amine B.
SAL000522,CL00053,2024-03-27,Custom Development,one_time,29869.16,2986.92,26882.24,Won,62,Amine B.
SAL001457,CL00122,2024-03-29,Core Premium,subscription,4145.41,0.0,4145.41,Won,51,Marie D.
SAL003874,CL00330,2024-03-31,Vector Subscription,subscription,1945.49,194.55,1750.94,Won,65,Léa M.
SAL000165,CL00014,2024-03-31,Ledger Subscription,subscription,1166.76,0.0,1166.76,Won,68,Yanis F.
SAL000174,CL00014,2024-04-01,Premium Support,subscription,427.59,0.0,427.59,Won,7,Yanis F.
SAL003789,CL00322,2024-04-03,Training & Onboarding,one_time,2734.74,0.0,2734.74,Won,35,Sophie L.
SAL002958,CL00253,2024-04-04,Training & Onboarding,one_time,2579.28,128.96,2450.32,Won,104,Yanis F.
SAL000230,CL00021,2024-04-04,Core Premium,subscription,2793.52,0.0,2793.52,Won,70,Yanis F.
SAL002973,CL00253,2024-04-04,Training & Onboarding,one_time,1873.8,374.76,1499.04,Won,112,Yanis F.
SAL003788,CL00322,2024-04-05,Training & Onboarding,one_time,3815.64,190.78,3624.86,Won,18,Sophie L.
SAL005269,CL00430,2024-04-06,Core Premium,subscription,2011.75,0.0,2011.75,Won,49,Marie D.
SAL005475,CL00451,2024-04-08,Premium Support,subscription,681.22,0.0,681.22,Won,8,Marie D.
SAL002977,CL00253,2024-04-09,Lex Subscription,subscription,1163.55,58.18,1105.37,Won,45,Yanis F.
SAL005658,CL00465,2024-04-09,Ledger Subscription,subscription,1140.12,0.0,1140.12,Won,89,Marie D.
SAL006010,CL00494,2024-04-10,Core Premium,subscription,3839.48,383.95,3455.53,Won,27,Amine B.
SAL004290,CL00355,2024-04-10,Training & Onboarding,one_time,1960.41,196.04,1764.37,Won,29,Marie D.
SAL003946,CL00334,2024-04-10,Ledger Subscription,subscription,1104.04,165.61,938.43,Won,50,Karim T.
SAL002681,CL00235,2024-04-10,Training & Onboarding,one_time,3969.22,0.0,3969.22,Won,38,Yanis F.
SAL002513,CL00220,2024-04-11,Lex Subscription,subscription,739.01,0.0,739.01,Won,64,Amine B.
SAL004318,CL00355,2024-04-11,Core Premium,subscription,3615.29,0.0,3615.29,Won,52,Marie D.
SAL004125,CL00344,2024-04-12,Core Premium,subscription,2318.38,0.0,2318.38,Won,25,Marie D.
SAL004171,CL00347,2024-04-12,Premium Support,subscription,404.74,0.0,404.74,Won,51,Karim T.
SAL003779,CL00322,2024-04-12,Custom Development,one_time,6949.71,0.0,6949.71,Won,65,Sophie L.
SAL006063,CL00498,2024-04-12,Vector Subscription,subscription,806.94,40.35,766.59,Won,39,Léa M.
SAL004153,CL00347,2024-04-12,Premium Support,subscription,315.38,0.0,315.38,Won,116,Karim T.
SAL004165,CL00347,2024-04-13,Ledger Subscription,subscription,412.17,20.61,391.56,Won,89,Karim T.
SAL002877,CL00244,2024-04-13,Premium Support,subscription,720.77,0.0,720.77,Won,51,Amine B.
SAL001626,CL00132,2024-04-14,Premium Support,subscription,217.08,0.0,217.08,Won,82,Karim T.
SAL002830,CL00241,2024-04-14,Premium Support,subscription,799.14,0.0,799.14,Won,27,Amine B.
SAL004661,CL00386,2024-04-15,Core Premium,subscription,4786.02,0.0,4786.02,Won,45,Yanis F.
SAL003321,CL00281,2024-04-15,Lex Subscription,subscription,456.42,0.0,456.42,Won,60,Amine B.
SAL000233,CL00021,2024-04-15,Lex Subscription,subscription,754.52,0.0,754.52,Won,32,Yanis F.
SAL004759,CL00395,2024-04-15,Lex Subscription,subscription,539.89,107.98,431.91,Won,19,Karim T.
SAL002924,CL00251,2024-04-16,Core Premium,subscription,3734.11,186.71,3547.4,Won,77,Sophie L.
SAL003964,CL00334,2024-04-16,Premium Support,subscription,713.21,0.0,713.21,Won,89,Karim T.
SAL004270,CL00352,2024-04-16,Lex Subscription,subscription,1894.02,0.0,1894.02,Won,26,Léa M.
SAL001897,CL00162,2024-04-16,Vector Subscription,subscription,1159.43,0.0,1159.43,Won,8,Marie D.
SAL002783,CL00241,2024-04-16,Premium Support,subscription,674.94,0.0,674.94,Won,88,Amine B.
SAL004681,CL00386,2024-04-16,Vector Subscription,subscription,1680.46,0.0,1680.46,Won,55,Yanis F.
SAL003313,CL00281,2024-04-18,Vector Subscription,subscription,606.85,0.0,606.85,Won,40,Amine B.
SAL005767,CL00477,2024-04-19,Premium Support,subscription,338.73,0.0,338.73,Won,66,Sophie L.
SAL004191,CL00347,2024-04-20,Lex Subscription,subscription,1148.36,229.67,918.69,Won,79,Karim T.
SAL002784,CL00241,2024-04-20,Vector Subscription,subscription,1458.36,0.0,1458.36,Won,55,Amine B.
SAL002521,CL00220,2024-04-21,Ledger Subscription,subscription,1073.54,0.0,1073.54,Won,22,Amine B.
SAL002071,CL00178,2024-04-23,Premium Support,subscription,474.29,47.43,426.86,Won,110,Karim T.
SAL002685,CL00235,2024-04-23,Training & Onboarding,one_time,3630.81,544.62,3086.19,Won,24,Yanis F.
SAL000257,CL00027,2024-04-23,Vector Subscription,subscription,1438.65,0.0,1438.65,Won,107,Amine B.
SAL003333,CL00281,2024-04-23,Custom Development,one_time,14382.43,0.0,14382.43,Won,11,Amine B.
SAL004787,CL00397,2024-04-26,Core Premium,subscription,2588.9,517.78,2071.12,Won,31,Yanis F.
SAL003872,CL00330,2024-04-26,Premium Support,subscription,792.22,0.0,792.22,Won,62,Léa M.
SAL003827,CL00328,2024-04-26,Custom Development,one_time,26124.36,3918.65,22205.71,Won,60,Yanis F.
SAL003598,CL00302,2024-04-26,Ledger Subscription,subscription,1059.22,0.0,1059.22,Won,11,Karim T.
SAL005313,CL00435,2024-04-27,Custom Development,one_time,22093.79,1104.69,20989.1,Won,50,Léa M.
SAL002063,CL00178,2024-04-27,Training & Onboarding,one_time,2039.65,0.0,2039.65,Won,35,Karim T.
SAL004206,CL00348,2024-04-28,Vector Subscription,subscription,1180.32,118.03,1062.29,Won,42,Léa M.
SAL006012,CL00494,2024-04-28,Training & Onboarding,one_time,2228.32,0.0,2228.32,Won,29,Amine B.
SAL001759,CL00145,2024-04-29,Training & Onboarding,one_time,2061.45,309.22,1752.23,Won,61,Karim T.
SAL001458,CL00122,2024-04-29,Vector Subscription,subscription,1223.85,122.39,1101.46,Won,82,Marie D.
SAL005792,CL00479,2024-04-29,Ledger Subscription,subscription,1003.59,200.72,802.87,Won,40,Yanis F.
SAL005592,CL00461,2024-04-29,Premium Support,subscription,433.96,21.7,412.26,Won,36,Marie D.
SAL003183,CL00270,2024-04-29,Ledger Subscription,subscription,649.52,97.43,552.09,Won,31,Amine B.
SAL001435,CL00121,2024-04-30,Training & Onboarding,one_time,2726.96,272.7,2454.26,Won,33,Amine B.
SAL002517,CL00220,2024-05-01,Vector Subscription,subscription,1206.19,0.0,1206.19,Won,41,Amine B.
SAL000822,CL00074,2024-05-02,Custom Development,one_time,18491.3,1849.13,16642.17,Won,7,Léa M.
SAL002926,CL00251,2024-05-04,Training & Onboarding,one_time,3166.17,0.0,3166.17,Won,88,Sophie L.
SAL002601,CL00224,2024-05-04,Training & Onboarding,one_time,1493.57,0.0,1493.57,Won,54,Karim T.
SAL005267,CL00430,2024-05-04,Lex Subscription,subscription,488.53,0.0,488.53,Won,79,Marie D.
SAL001619,CL00132,2024-05-04,Core Premium,subscription,2351.05,117.55,2233.5,Won,30,Karim T.
SAL000006,CL00002,2024-05-05,Vector Subscription,subscription,1752.87,87.64,1665.23,Won,89,Marie D.
SAL002081,CL00178,2024-05-05,Custom Development,one_time,13556.05,0.0,13556.05,Won,27,Karim T.
SAL001629,CL00132,2024-05-06,Lex Subscription,subscription,704.97,105.75,599.22,Won,44,Karim T.
SAL000095,CL00011,2024-05-06,Custom Development,one_time,11786.16,0.0,11786.16,Won,51,Karim T.
SAL004855,CL00399,2024-05-06,Core Premium,subscription,4383.28,219.16,4164.12,Won,21,Léa M.
SAL000588,CL00057,2024-05-07,Premium Support,subscription,301.05,0.0,301.05,Won,7,Marie D.
SAL004212,CL00348,2024-05-08,Premium Support,subscription,492.93,0.0,492.93,Won,84,Léa M.
SAL004608,CL00380,2024-05-08,Lex Subscription,subscription,820.03,0.0,820.03,Won,59,Léa M.
SAL001431,CL00121,2024-05-08,Core Premium,subscription,2904.56,290.46,2614.1,Won,80,Amine B.
SAL005595,CL00461,2024-05-09,Ledger Subscription,subscription,869.15,43.46,825.69,Won,80,Marie D.
SAL001465,CL00122,2024-05-10,Lex Subscription,subscription,1432.36,143.24,1289.12,Won,62,Marie D.
SAL006081,CL00498,2024-05-10,Training & Onboarding,one_time,2021.09,101.05,1920.04,Won,20,Léa M.
SAL004187,CL00347,2024-05-10,Core Premium,subscription,2065.48,0.0,2065.48,Won,65,Karim T.
SAL005761,CL00477,2024-05-10,Premium Support,subscription,299.38,0.0,299.38,Won,9,Sophie L.
SAL000594,CL00057,2024-05-10,Training & Onboarding,one_time,2156.76,323.51,1833.25,Won,48,Marie D.
SAL005046,CL00415,2024-05-12,Training & Onboarding,one_time,2735.04,410.26,2324.78,Won,11,Amine B.
SAL003484,CL00294,2024-05-13,Core Premium,subscription,2745.64,0.0,2745.64,Won,58,Amine B.
SAL003328,CL00281,2024-05-14,Training & Onboarding,one_time,1003.21,100.32,902.89,Won,12,Amine B.
SAL002567,CL00222,2024-05-14,Core Premium,subscription,4909.8,0.0,4909.8,Won,90,Léa M.
SAL003778,CL00322,2024-05-15,Lex Subscription,subscription,1290.42,0.0,1290.42,Won,57,Sophie L.
SAL005271,CL00430,2024-05-15,Lex Subscription,subscription,1330.72,266.14,1064.58,Won,75,Marie D.
SAL005312,CL00435,2024-05-15,Premium Support,subscription,700.29,0.0,700.29,Won,37,Léa M.
SAL004750,CL00395,2024-05-15,Premium Support,subscription,392.46,19.62,372.84,Won,70,Karim T.
SAL003955,CL00334,2024-05-16,Vector Subscription,subscription,1362.83,68.14,1294.69,Won,31,Karim T.
SAL004701,CL00387,2024-05-16,Training & Onboarding,one_time,4864.42,0.0,4864.42,Won,41,Amine B.
SAL005809,CL00479,2024-05-16,Training & Onboarding,one_time,3898.88,194.94,3703.94,Won,77,Yanis F.
SAL001882,CL00158,2024-05-16,Premium Support,subscription,605.84,0.0,605.84,Won,40,Sophie L.
SAL003781,CL00322,2024-05-17,Vector Subscription,subscription,1034.2,103.42,930.78,Won,20,Sophie L.
SAL004269,CL00352,2024-05-18,Training & Onboarding,one_time,4629.1,0.0,4629.1,Won,24,Léa M.
SAL005982,CL00491,2024-05-18,Ledger Subscription,subscription,764.68,114.7,649.98,Won,13,Amine B.
SAL002523,CL00220,2024-05-19,Ledger Subscription,subscription,715.14,107.27,607.87,Won,28,Amine B.
SAL003857,CL00330,2024-05-20,Premium Support,subscription,786.76,0.0,786.76,Won,20,Léa M.
SAL002795,CL00241,2024-05-21,Training & Onboarding,one_time,3305.64,330.56,2975.08,Won,70,Amine B.
SAL000830,CL00074,2024-05-21,Core Premium,subscription,2453.25,0.0,2453.25,Won,42,Léa M.
SAL000285,CL00027,2024-05-21,Ledger Subscription,subscription,1183.3,118.33,1064.97,Won,32,Amine B.
SAL004784,CL00397,2024-05-21,Core Premium,subscription,2692.75,0.0,2692.75,Won,86,Yanis F.
SAL005476,CL00451,2024-05-21,Training & Onboarding,one_time,2676.67,0.0,2676.67,Won,32,Marie D.
SAL005606,CL00461,2024-05-22,Ledger Subscription,subscription,804.34,0.0,804.34,Won,47,Marie D.
SAL005598,CL00461,2024-05-23,Premium Support,subscription,730.14,73.01,657.13,Won,28,Marie D.
SAL002579,CL00222,2024-05-23,Lex Subscription,subscription,695.54,0.0,695.54,Won,30,Léa M.
SAL004268,CL00352,2024-05-23,Training & Onboarding,one_time,4410.3,0.0,4410.3,Won,80,Léa M.
SAL000177,CL00014,2024-05-24,Premium Support,subscription,482.02,0.0,482.02,Won,66,Yanis F.
SAL003482,CL00294,2024-05-24,Core Premium,subscription,1718.91,0.0,1718.91,Won,92,Amine B.
SAL005259,CL00430,2024-05-24,Ledger Subscription,subscription,347.33,0.0,347.33,Won,77,Marie D.
SAL005647,CL00465,2024-05-24,Custom Development,one_time,20231.47,3034.72,17196.75,Won,30,Marie D.
SAL001468,CL00122,2024-05-25,Vector Subscription,subscription,660.82,33.04,627.78,Won,20,Marie D.
SAL005996,CL00491,2024-05-25,Vector Subscription,subscription,1690.13,84.51,1605.62,Won,20,Amine B.
SAL004485,CL00371,2024-05-25,Premium Support,subscription,209.31,0.0,209.31,Won,67,Léa M.
SAL000272,CL00027,2024-05-25,Custom Development,one_time,26773.59,0.0,26773.59,Won,25,Amine B.
SAL005811,CL00479,2024-05-25,Core Premium,subscription,1744.53,0.0,1744.53,Won,118,Yanis F.
SAL004476,CL00371,2024-05-25,Premium Support,subscription,442.82,22.14,420.68,Won,41,Léa M.
SAL003110,CL00262,2024-05-26,Ledger Subscription,subscription,321.27,32.13,289.14,Won,46,Yanis F.
SAL004109,CL00342,2024-05-26,Custom Development,one_time,7215.75,0.0,7215.75,Won,87,Amine B.
SAL005612,CL00461,2024-05-26,Core Premium,subscription,4649.2,697.38,3951.82,Won,8,Marie D.
SAL002029,CL00176,2024-05-26,Vector Subscription,subscription,701.98,70.2,631.78,Won,42,Yanis F.
SAL002195,CL00190,2024-05-27,Core Premium,subscription,2944.07,0.0,2944.07,Won,56,Marie D.
SAL002113,CL00182,2024-05-27,Ledger Subscription,subscription,409.88,81.98,327.9,Won,86,Marie D.
SAL002598,CL00224,2024-05-27,Core Premium,subscription,1523.2,0.0,1523.2,Won,62,Karim T.
SAL002811,CL00241,2024-05-27,Premium Support,subscription,547.22,0.0,547.22,Won,32,Amine B.
SAL001613,CL00132,2024-05-27,Premium Support,subscription,378.82,75.76,303.06,Won,36,Karim T.
SAL004491,CL00371,2024-05-28,Vector Subscription,subscription,857.94,171.59,686.35,Won,13,Léa M.
SAL005054,CL00415,2024-05-28,Lex Subscription,subscription,548.31,27.42,520.89,Won,52,Amine B.
SAL003181,CL00270,2024-05-29,Training & Onboarding,one_time,3176.65,0.0,3176.65,Won,32,Amine B.
SAL003340,CL00281,2024-05-29,Training & Onboarding,one_time,1135.75,0.0,1135.75,Won,28,Amine B.
SAL002960,CL00253,2024-05-29,Ledger Subscription,subscription,507.23,0.0,507.23,Won,68,Yanis F.
SAL001894,CL00162,2024-05-30,Ledger Subscription,subscription,1186.15,0.0,1186.15,Won,36,Marie D.
SAL003349,CL00283,2024-05-31,Ledger Subscription,subscription,1016.09,101.61,914.48,Won,57,Yanis F.
SAL004834,CL00399,2024-06-01,Ledger Subscription,subscription,533.63,53.36,480.27,Won,89,Léa M.
SAL000507,CL00053,2024-06-02,Core Premium,subscription,3617.96,0.0,3617.96,Won,52,Amine B.
SAL001875,CL00156,2024-06-02,Premium Support,subscription,742.29,74.23,668.06,Won,7,Karim T.
SAL004594,CL00380,2024-06-02,Training & Onboarding,one_time,1739.78,173.98,1565.8,Won,54,Léa M.
SAL000252,CL00027,2024-06-03,Training & Onboarding,one_time,1350.27,202.54,1147.73,Won,106,Amine B.
SAL001880,CL00158,2024-06-03,Vector Subscription,subscription,652.97,97.94,555.03,Won,16,Sophie L.
SAL001881,CL00158,2024-06-03,Lex Subscription,subscription,455.8,0.0,455.8,Won,49,Sophie L.
SAL000271,CL00027,2024-06-03,Custom Development,one_time,26687.14,5337.43,21349.71,Won,47,Amine B.
SAL004684,CL00386,2024-06-04,Training & Onboarding,one_time,1149.95,0.0,1149.95,Won,52,Yanis F.
SAL000256,CL00027,2024-06-04,Core Premium,subscription,2547.3,254.73,2292.57,Won,77,Amine B.
SAL005488,CL00452,2024-06-04,Custom Development,one_time,29179.63,0.0,29179.63,Won,96,Karim T.
SAL003592,CL00302,2024-06-04,Custom Development,one_time,21925.12,1096.26,20828.86,Won,37,Karim T.
SAL004762,CL00395,2024-06-04,Lex Subscription,subscription,1110.72,111.07,999.65,Won,89,Karim T.
SAL002206,CL00190,2024-06-04,Core Premium,subscription,4971.49,0.0,4971.49,Won,58,Marie D.
SAL005507,CL00452,2024-06-05,Custom Development,one_time,27349.31,0.0,27349.31,Won,85,Karim T.
SAL004482,CL00371,2024-06-06,Lex Subscription,subscription,446.77,22.34,424.43,Won,80,Léa M.
SAL004256,CL00350,2024-06-06,Custom Development,one_time,13795.86,0.0,13795.86,Won,65,Yanis F.
SAL005034,CL00415,2024-06-07,Core Premium,subscription,2772.52,0.0,2772.52,Won,64,Amine B.
SAL006068,CL00498,2024-06-07,Custom Development,one_time,25817.17,3872.58,21944.59,Won,25,Léa M.
SAL004615,CL00380,2024-06-08,Premium Support,subscription,405.31,0.0,405.31,Won,42,Léa M.
SAL002284,CL00199,2024-06-08,Vector Subscription,subscription,1469.47,0.0,1469.47,Won,10,Yanis F.
SAL001604,CL00131,2024-06-08,Premium Support,subscription,758.81,0.0,758.81,Won,28,Marie D.
SAL006058,CL00498,2024-06-09,Training & Onboarding,one_time,3454.04,172.7,3281.34,Won,62,Léa M.
SAL003825,CL00327,2024-06-09,Core Premium,subscription,2245.24,0.0,2245.24,Won,42,Sophie L.
SAL003490,CL00294,2024-06-11,Lex Subscription,subscription,1184.24,59.21,1125.03,Won,91,Amine B.
SAL004675,CL00386,2024-06-11,Custom Development,one_time,19035.79,1903.58,17132.21,Won,53,Yanis F.
SAL003430,CL00291,2024-06-11,Core Premium,subscription,4870.63,243.53,4627.1,Won,87,Marie D.
SAL005820,CL00479,2024-06-11,Core Premium,subscription,2628.87,0.0,2628.87,Won,30,Yanis F.
SAL003913,CL00331,2024-06-12,Premium Support,subscription,559.28,0.0,559.28,Won,84,Léa M.
SAL002068,CL00178,2024-06-12,Training & Onboarding,one_time,2079.84,0.0,2079.84,Won,96,Karim T.
SAL000103,CL00011,2024-06-12,Lex Subscription,subscription,698.94,0.0,698.94,Won,68,Karim T.
SAL000521,CL00053,2024-06-12,Core Premium,subscription,3293.86,494.08,2799.78,Won,22,Amine B.
SAL003335,CL00281,2024-06-12,Ledger Subscription,subscription,407.84,81.57,326.27,Won,66,Amine B.
SAL000178,CL00014,2024-06-13,Custom Development,one_time,9364.56,0.0,9364.56,Won,14,Yanis F.
SAL005474,CL00451,2024-06-13,Premium Support,subscription,423.29,0.0,423.29,Won,58,Marie D.
SAL004665,CL00386,2024-06-13,Custom Development,one_time,26787.51,1339.38,25448.13,Won,37,Yanis F.
SAL003972,CL00335,2024-06-13,Custom Development,one_time,7790.62,0.0,7790.62,Won,64,Léa M.
SAL004866,CL00399,2024-06-14,Training & Onboarding,one_time,2861.61,286.16,2575.45,Won,76,Léa M.
SAL005764,CL00477,2024-06-14,Custom Development,one_time,10944.39,1094.44,9849.95,Won,39,Sophie L.
SAL001415,CL00121,2024-06-15,Training & Onboarding,one_time,2747.5,137.37,2610.13,Won,23,Amine B.
SAL002961,CL00253,2024-06-15,Core Premium,subscription,2143.28,0.0,2143.28,Won,55,Yanis F.
SAL004004,CL00335,2024-06-15,Lex Subscription,subscription,1438.86,287.77,1151.09,Won,53,Léa M.
SAL001617,CL00132,2024-06-15,Vector Subscription,subscription,1699.68,84.98,1614.7,Won,39,Karim T.
SAL000083,CL00009,2024-06-15,Vector Subscription,subscription,1652.8,0.0,1652.8,Won,8,Amine B.
SAL004303,CL00355,2024-06-15,Training & Onboarding,one_time,2664.25,0.0,2664.25,Won,85,Marie D.
SAL004199,CL00347,2024-06-16,Vector Subscription,subscription,1697.27,0.0,1697.27,Won,57,Karim T.
SAL004478,CL00371,2024-06-16,Custom Development,one_time,13332.76,0.0,13332.76,Won,16,Léa M.
SAL002122,CL00182,2024-06-17,Lex Subscription,subscription,1141.82,0.0,1141.82,Won,33,Marie D.
SAL003314,CL00281,2024-06-18,Core Premium,subscription,2102.31,0.0,2102.31,Won,29,Amine B.
SAL003881,CL00330,2024-06-18,Vector Subscription,subscription,1650.9,0.0,1650.9,Won,31,Léa M.
SAL004596,CL00380,2024-06-18,Core Premium,subscription,1915.69,0.0,1915.69,Won,41,Léa M.
SAL005519,CL00455,2024-06-18,Lex Subscription,subscription,1457.8,72.89,1384.91,Won,62,Sophie L.
SAL005496,CL00452,2024-06-18,Lex Subscription,subscription,1750.62,0.0,1750.62,Won,23,Karim T.
SAL004534,CL00374,2024-06-19,Core Premium,subscription,2626.21,525.24,2100.97,Won,55,Léa M.
SAL004685,CL00387,2024-06-19,Training & Onboarding,one_time,4582.84,0.0,4582.84,Won,56,Amine B.
SAL004700,CL00387,2024-06-20,Core Premium,subscription,5570.16,835.52,4734.64,Won,86,Amine B.
